Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"1,761","2,819","2,742","2,064","2,861","2,726","3,135","3,257","2,264","2,290","2,518",Upgrade
Market Cap Growth,-,2.80%,32.87%,-27.85%,4.94%,-13.04%,-3.77%,43.87%,-1.12%,-9.07%,31.61%,Upgrade
Enterprise Value,"3,641","5,008","2,142","2,142","4,108","4,027","4,388","4,376","3,380","3,295","4,278",Upgrade
PE Ratio,6.34,10.19,10.34,11.73,12.64,13.08,18.25,20.16,15.15,14.50,15.56,Upgrade
PS Ratio,1.76,2.87,2.88,2.64,3.44,3.50,4.12,4.67,3.33,3.42,3.73,Upgrade
PB Ratio,0.67,1.09,1.01,0.79,1.22,1.21,1.41,1.54,1.11,1.15,1.22,Upgrade
P/FCF Ratio,2.40,4.89,8.45,15.05,30.43,10.61,12.31,15.78,15.05,12.30,9.08,Upgrade
P/OCF Ratio,2.34,4.71,8.01,13.11,22.40,9.18,10.89,14.41,12.75,10.87,8.35,Upgrade
EV/Sales Ratio,3.64,5.11,2.25,2.74,4.94,5.17,5.77,6.27,4.97,4.92,6.34,Upgrade
EV/EBITDA Ratio,9.46,13.22,5.89,9.25,13.99,15.42,16.71,18.57,14.87,13.94,17.73,Upgrade
EV/EBIT Ratio,10.33,14.43,6.41,10.59,15.56,17.29,18.72,21.01,16.95,15.65,20.09,Upgrade
EV/FCF Ratio,4.96,8.68,6.60,15.62,43.70,15.67,17.23,21.20,22.47,17.70,15.42,Upgrade
Debt / Equity Ratio,0.93,1.11,0.38,0.74,0.75,0.78,0.74,0.69,0.71,0.74,1.04,Upgrade
Debt / EBITDA Ratio,6.36,7.58,2.85,8.32,6.01,6.69,6.31,6.24,6.37,6.22,8.88,Upgrade
Debt / FCF Ratio,3.33,4.98,3.20,14.05,18.78,6.80,6.50,7.13,9.62,7.89,7.72,Upgrade
Asset Turnover,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),11.10%,11.00%,9.90%,7.30%,9.80%,9.20%,7.80%,7.70%,7.40%,7.70%,7.90%,Upgrade
Return on Assets (ROA),1.10%,1.10%,1.00%,0.70%,1.10%,1.00%,0.90%,0.90%,0.80%,0.90%,1.00%,Upgrade
Return on Capital (ROIC),1.30%,1.30%,1.40%,0.80%,1.20%,1.10%,1.20%,1.10%,1.10%,1.20%,1.20%,Upgrade
Earnings Yield,15.94%,9.82%,9.67%,8.52%,7.91%,7.64%,5.48%,4.96%,6.60%,6.90%,6.43%,Upgrade
FCF Yield,41.65%,20.47%,11.84%,6.64%,3.29%,9.43%,8.12%,6.34%,6.64%,8.13%,11.02%,Upgrade
Dividend Yield,6.20%,3.92%,3.76%,4.40%,3.21%,3.36%,2.63%,2.18%,2.92%,2.75%,2.45%,Upgrade
Payout Ratio,38.80%,39.10%,39.30%,51.90%,41.20%,43.70%,48.00%,44.10%,44.70%,40.00%,38.10%,Upgrade
Buyback Yield / Dilution,-4.01%,-3.84%,0.58%,1.14%,6.80%,-0.56%,-1.07%,0.44%,6.06%,3.73%,3.34%,Upgrade
Total Shareholder Return,2.18%,0.08%,4.35%,5.54%,10.01%,2.80%,1.56%,2.62%,8.98%,6.48%,5.79%,Upgrade
