Year,Current,2022,2021
Market Capitalization,301,296,290
Market Cap Growth,-,2.09%,-
Enterprise Value,303,297,290
PE Ratio,26.79,27.60,58.42
PB Ratio,-84.66,-79.02,-25.50
P/FCF Ratio,-297.91,-326.82,-333.35
P/OCF Ratio,-297.91,-326.82,-333.35
EV/EBITDA Ratio,27.39,27.72,58.48
EV/EBIT Ratio,27.39,27.72,58.48
EV/FCF Ratio,-299.40,-328.27,-333.71
Debt / Equity Ratio,-0.49,-0.38,-0.09
Debt / EBITDA Ratio,0.16,0.13,0.21
Debt / FCF Ratio,-1.74,-1.58,-1.21
Current Ratio,8.30,13.50,13.47
Return on Equity (ROE),-252.60%,-187.60%,-
Return on Assets (ROA),4.60%,4.50%,-
Return on Capital (ROIC),4.60%,4.50%,-
Earnings Yield,3.67%,3.62%,1.71%
FCF Yield,-0.33%,-0.31%,-0.30%
Buyback Yield / Dilution,-223.64%,-,
Total Shareholder Return,-223.64%,-,
