Year,Current,2022,2021,2020,2019
Market Capitalization,419,525,698,"1,119",472
Market Cap Growth,-,-24.77%,-37.66%,137.04%,-
Enterprise Value,"-1,679","-1,580",-979,160,20
PE Ratio,-240.13,-240.13,47.50,69.68,-71.67
PS Ratio,2.06,2.54,2.84,8.72,8.66
PB Ratio,0.95,1.17,1.56,4.75,2.23
P/FCF Ratio,1.68,2.07,1.71,2.10,1.95
P/OCF Ratio,1.65,2.03,1.69,2.09,1.94
EV/Sales Ratio,-7.65,-7.65,-3.98,1.24,0.37
EV/EBITDA Ratio,-321.84,-321.84,-48.00,8.05,-2.21
EV/EBIT Ratio,-731.28,-731.28,-51.38,8.45,-2.04
EV/FCF Ratio,-6.24,-6.24,-2.40,0.30,0.08
Debt / Equity Ratio,0.03,0.03,0.07,0.03,0.03
Debt / EBITDA Ratio,2.83,2.83,1.52,0.36,-0.64
Debt / FCF Ratio,0.05,0.05,0.08,0.01,0.02
Current Ratio,1.18,1.18,1.20,1.10,1.31
Asset Turnover,0.06,0.06,0.06,0.08,0.10
Return on Equity (ROE),-0.50%,-0.50%,3.80%,7.10%,-3.10%
Return on Assets (ROA),-0.10%,-0.10%,0.40%,1.00%,-1.20%
Return on Capital (ROIC),-0.20%,-0.20%,-1.20%,-4.40%,-4.90%
Earnings Yield,-0.51%,-0.42%,2.11%,1.44%,-1.40%
FCF Yield,59.45%,48.22%,58.50%,47.73%,51.24%
Buyback Yield / Dilution,-4.08%,-4.08%,-4.12%,-20.90%,-245.93%
Total Shareholder Return,-4.08%,-4.08%,-4.12%,-20.90%,-245.93%
