Year,Current,2022,2021,2020
Market Capitalization,130,139,-,-
Enterprise Value,99,116,18,20
PE Ratio,6.57,5.92,-,-
PS Ratio,2.11,2.12,-,-
PB Ratio,0.72,0.81,-,-
P/FCF Ratio,6.43,5.83,-,-
P/OCF Ratio,5.71,5.57,-,-
EV/Sales Ratio,1.60,1.76,0.40,0.73
EV/EBITDA Ratio,3.64,3.59,1.13,2.64
EV/EBIT Ratio,3.89,3.80,1.25,3.21
EV/FCF Ratio,4.90,4.84,1.58,-37.82
Debt / Equity Ratio,0.96,0.73,1.50,1.28
Debt / EBITDA Ratio,6.34,3.92,11.86,13.24
Debt / FCF Ratio,8.54,5.28,16.57,-190.02
Asset Turnover,0.03,0.04,0.04,-
Return on Equity (ROE),11.30%,15.60%,10.80%,-
Return on Assets (ROA),1.10%,1.50%,0.90%,-
Return on Capital (ROIC),1.40%,2.00%,1.20%,-
Earnings Yield,15.10%,16.89%,-,-
FCF Yield,15.54%,17.16%,-,-
Dividend Yield,2.81%,1.05%,-,-
Payout Ratio,10.90%,5.30%,0.00%,0.00%
Buyback Yield / Dilution,-23.32%,-56.21%,-12.58%,-
Total Shareholder Return,-20.51%,-55.16%,-12.58%,-
