Year,Current,2022,2021,2020,2019,2017,2016,2015,2014,2013,2012,2011 - 1995
Market Capitalization,"6,998","8,699","9,228","5,806","6,267","9,438","8,371","6,301","8,260","10,331","5,819",Upgrade
Market Cap Growth,-,-5.73%,58.94%,-7.36%,-33.59%,12.75%,32.84%,-23.72%,-20.04%,77.55%,4.62%,Upgrade
Enterprise Value,"29,996","28,422","29,554","27,470","27,785","21,596","19,430","20,498","20,456","22,014","5,750",Upgrade
PE Ratio,12.55,11.19,5.53,7.54,6.53,56.39,66.47,22.54,40.43,27.98,6.81,Upgrade
PS Ratio,1.25,1.46,1.15,0.99,1.61,2.32,2.76,0.58,0.72,0.99,0.62,Upgrade
PB Ratio,0.71,0.85,0.87,0.62,0.65,0.93,0.83,0.61,0.80,1.02,0.86,Upgrade
P/FCF Ratio,7.03,5.50,6.51,3.09,-5.91,13.61,23.10,-6.09,-5.38,18.43,10.13,Upgrade
P/OCF Ratio,5.73,4.82,5.83,2.82,-7.57,11.97,14.62,-8.27,-8.37,14.71,9.01,Upgrade
EV/Sales Ratio,5.42,4.75,3.69,4.70,7.14,5.30,6.40,1.88,1.78,2.11,0.61,Upgrade
EV/EBITDA Ratio,30.11,22.76,12.34,22.70,39.82,22.04,60.13,30.08,32.21,30.03,3.47,Upgrade
EV/EBIT Ratio,36.55,26.83,13.13,25.58,48.92,23.60,77.25,40.24,41.30,37.06,3.87,Upgrade
EV/FCF Ratio,30.62,17.98,20.86,14.62,-26.21,31.15,53.61,-19.81,-13.32,39.27,10.02,Upgrade
Debt / Equity Ratio,3.24,2.97,3.04,3.33,3.13,1.78,1.55,1.79,1.93,1.90,0.26,Upgrade
Debt / EBITDA Ratio,31.75,24.33,13.40,25.88,42.99,18.38,48.66,27.27,31.36,26.20,1.06,Upgrade
Debt / FCF Ratio,32.29,19.22,22.66,16.68,-28.29,25.98,43.39,-17.96,-12.97,34.26,3.05,Upgrade
Current Ratio,-,-,-,-,-,-,-,-,-,-,1.97,Upgrade
Asset Turnover,0.10,0.11,0.14,0.11,0.08,0.09,0.07,0.22,0.22,0.22,1.05,Upgrade
Return on Equity (ROE),5.70%,7.50%,16.40%,8.20%,9.70%,1.60%,1.20%,2.70%,2.00%,3.70%,13.40%,Upgrade
Return on Assets (ROA),1.10%,1.40%,2.90%,1.50%,2.00%,0.40%,0.30%,0.60%,0.40%,0.80%,9.60%,Upgrade
Return on Capital (ROIC),1.10%,1.40%,2.90%,1.50%,0.90%,1.60%,0.50%,0.80%,0.80%,1.10%,17.50%,Upgrade
Earnings Yield,8.47%,8.93%,18.07%,13.26%,15.31%,1.77%,1.50%,4.44%,2.47%,3.57%,14.69%,Upgrade
FCF Yield,14.22%,18.17%,15.35%,32.35%,-16.91%,7.35%,4.33%,-16.42%,-18.60%,5.43%,9.87%,Upgrade
Dividend Yield,4.00%,3.16%,2.39%,2.64%,8.49%,1.23%,1.08%,1.44%,1.12%,0.88%,1.05%,Upgrade
Payout Ratio,49.80%,38.30%,14.30%,22.40%,57.80%,72.40%,73.50%,33.90%,46.50%,23.40%,7.20%,Upgrade
Buyback Yield / Dilution,6.49%,6.75%,3.87%,14.82%,15.83%,1.04%,0.64%,1.65%,-1.07%,-49.04%,-,Upgrade
Total Shareholder Return,10.56%,9.91%,6.26%,17.46%,24.32%,2.27%,1.71%,3.10%,0.05%,-48.16%,1.05%,Upgrade
