Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,"3,924","2,994","3,789","3,879","5,061","3,490","4,443","3,855","2,770","3,194","2,444",Upgrade
Market Cap Growth,-,-20.98%,-2.31%,-23.35%,45.01%,-21.44%,15.24%,39.18%,-13.28%,30.69%,199.33%,Upgrade
Enterprise Value,"5,390","4,507","5,197","5,367","5,987","4,496","5,374","4,863","3,930","4,342","3,329",Upgrade
PE Ratio,5.75,4.03,6.31,9.86,7.53,5.76,36.69,12.51,9.65,3.33,-12.41,Upgrade
PS Ratio,3.23,2.52,2.85,2.70,3.31,2.74,3.64,3.11,2.32,2.98,3.26,Upgrade
PB Ratio,0.95,0.76,0.89,0.91,1.25,1.00,1.48,1.34,1.11,1.52,2.60,Upgrade
P/FCF Ratio,10.55,8.08,6.96,6.05,7.59,5.35,13.39,11.14,-201.53,-19.39,-3.64,Upgrade
P/OCF Ratio,10.05,7.71,6.80,5.89,7.29,5.15,12.32,10.10,236.33,-21.84,-3.68,Upgrade
EV/Sales Ratio,4.46,3.79,3.91,3.73,3.92,3.53,4.40,3.93,3.29,4.05,4.44,Upgrade
EV/EBITDA Ratio,4.99,4.06,5.64,8.70,6.12,5.52,10.85,7.65,6.38,16.48,-39.56,Upgrade
EV/EBIT Ratio,5.34,4.35,6.12,9.75,6.61,6.03,13.12,8.61,7.35,21.98,-21.64,Upgrade
EV/FCF Ratio,14.57,12.16,9.54,8.37,8.98,6.90,16.19,14.05,-285.89,-26.36,-4.96,Upgrade
Debt / Equity Ratio,0.37,0.40,0.37,0.37,0.25,0.32,0.34,0.37,0.49,0.57,0.99,Upgrade
Debt / EBITDA Ratio,1.42,1.41,1.69,2.56,1.04,1.37,2.07,1.68,1.98,4.52,-11.05,Upgrade
Debt / FCF Ratio,4.15,4.23,2.87,2.47,1.53,1.71,3.09,3.09,-88.72,-7.24,-1.39,Upgrade
Asset Turnover,0.17,0.17,0.17,0.19,0.23,0.21,0.21,0.21,0.20,0.18,0.13,Upgrade
Return on Equity (ROE),18.30%,18.90%,14.10%,9.70%,17.40%,18.50%,4.10%,11.00%,12.10%,59.30%,-21.50%,Upgrade
Return on Assets (ROA),10.10%,10.30%,7.60%,5.30%,10.10%,9.80%,2.10%,5.10%,4.80%,15.80%,-3.30%,Upgrade
Return on Capital (ROIC),11.70%,11.90%,9.10%,6.20%,12.00%,10.60%,6.20%,8.30%,7.80%,2.80%,-2.20%,Upgrade
Earnings Yield,18.43%,24.81%,15.85%,10.15%,13.28%,17.36%,2.73%,8.00%,10.36%,30.04%,-8.06%,Upgrade
FCF Yield,9.48%,12.38%,14.37%,16.54%,13.18%,18.67%,7.47%,8.98%,-0.50%,-5.16%,-27.45%,Upgrade
Dividend Yield,3.29%,4.56%,2.74%,2.53%,0.04%,0.06%,0.04%,0.06%,0.08%,0.07%,0.07%,Upgrade
Payout Ratio,18.70%,18.10%,17.10%,24.90%,0.30%,0.30%,1.40%,0.70%,0.60%,0.20%,-0.80%,Upgrade
Buyback Yield / Dilution,9.90%,10.30%,3.24%,6.51%,3.76%,0.84%,3.86%,6.93%,-5.31%,-40.59%,-25.53%,Upgrade
Total Shareholder Return,13.20%,14.86%,5.98%,9.05%,3.80%,0.90%,3.90%,6.99%,-5.23%,-40.52%,-25.46%,Upgrade
