Year,Current,2022,2021
Market Capitalization,85,257,246
Market Cap Growth,-,4.26%,-
Enterprise Value,86,258,246
PE Ratio,24.95,25.66,28.54
PB Ratio,-23.18,-23.18,-14.35
P/FCF Ratio,-444.84,-444.84,-317.06
P/OCF Ratio,-444.84,-444.84,-317.06
EV/EBITDA Ratio,8.63,25.75,28.46
EV/EBIT Ratio,8.63,25.75,28.46
EV/FCF Ratio,-446.41,-446.41,-316.20
Debt / Equity Ratio,-0.09,-0.09,-
Debt / EBITDA Ratio,0.10,0.10,-
Debt / FCF Ratio,-1.73,-1.73,-
Current Ratio,0.15,0.15,2.91
Return on Equity (ROE),-89.10%,-89.10%,-99.90%
Return on Assets (ROA),4.90%,4.90%,8.50%
Return on Capital (ROIC),4.90%,4.90%,8.50%
Earnings Yield,11.72%,3.90%,3.50%
FCF Yield,-0.68%,-0.22%,-0.32%
Buyback Yield / Dilution,-68.02%,-68.02%,-
Total Shareholder Return,-68.02%,-68.02%,-
