Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Market Capitalization,112,122,148,127,146,127,135,122,106,112,141
Market Cap Growth,-,-17.43%,16.32%,-13.30%,15.68%,-6.46%,10.90%,14.96%,-5.02%,-20.72%,-
Enterprise Value,166,177,208,170,164,175,161,180,127,124,58
PE Ratio,29.43,22.72,11.69,16.31,11.61,12.61,11.25,17.40,12.81,24.65,0
PS Ratio,19.62,15.51,851.52,12.89,10.13,10.69,9.61,14.06,10.67,16.75,0
PB Ratio,0.75,0.83,0.96,0.90,1.02,0.90,0.96,0.88,0.75,0.79,1.30
P/FCF Ratio,2.91,7.70,-7.44,-9.62,3.55,-9.99,3.26,-4.41,74.99,-0.89,-5.05
P/OCF Ratio,2.91,7.70,-7.44,-9.62,3.55,-9.99,3.26,-4.41,74.99,-0.89,-5.05
EV/Sales Ratio,29.39,22.54,1197.15,17.21,11.36,14.76,11.44,20.71,12.78,18.51,-
EV/EBITDA Ratio,29.40,23.02,14.90,19.84,11.71,14.64,11.67,20.45,13.17,24.59,-
EV/FCF Ratio,4.36,11.19,-10.46,-12.85,3.98,-13.80,3.88,-6.50,89.82,-0.98,-2.09
Debt / Equity Ratio,0.41,0.41,0.42,0.34,0.15,0.40,0.21,0.49,0.37,0.29,0.02
Debt / EBITDA Ratio,9.84,7.22,4.31,5.03,1.26,4.27,1.87,7.00,2.59,4.48,-
Debt / FCF Ratio,1.46,3.51,-3.02,-3.26,0.43,-4.03,0.62,-2.22,17.66,-0.18,-
Current Ratio,1.03,1.03,0.76,2.41,0.72,1.45,0.75,1.38,0.26,0.68,59.94
Asset Turnover,0.01,0.04,0.00,0.05,0.09,0.06,0.08,0.04,0.05,0.04,0
Return on Equity (ROE),-,3.63%,8.23%,5.53%,8.80%,7.15%,8.53%,5.06%,5.89%,3.19%,0.00%
Return on Assets (ROA),-,2.57%,5.78%,4.13%,7.65%,5.11%,7.06%,3.41%,4.30%,2.48%,0.00%
Return on Capital (ROIC),-,3.77%,6.47%,4.63%,8.65%,6.41%,8.26%,4.56%,6.10%,3.49%,-
Earnings Yield,3.41%,4.40%,8.56%,6.13%,8.61%,7.93%,8.89%,5.75%,7.81%,4.06%,-
FCF Yield,34.37%,12.99%,-13.44%,-10.40%,28.14%,-10.01%,30.66%,-22.66%,1.33%,-112.37%,-19.82%
Dividend Yield,10.51%,9.50%,6.95%,7.77%,7.31%,7.73%,7.00%,7.45%,10.01%,7.42%,0.00%
Payout Ratio,0.00%,215.88%,81.17%,126.73%,84.88%,97.51%,78.68%,129.63%,128.16%,182.82%,0.00%
Buyback Yield / Dilution,-6.89%,-6.46%,-1.92%,-0.43%,-0.12%,-0.37%,-0.08%,-0.26%,-13.46%,-,-
Total Shareholder Return,3.76%,3.04%,5.03%,7.34%,7.19%,7.36%,6.92%,7.19%,-3.45%,7.42%,-
