Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1998
Market Capitalization,"18,582","16,135","19,849","13,467","11,123","7,695","7,174","6,290","4,525","4,731","4,565",Upgrade
Market Cap Growth,-,-18.71%,47.39%,21.07%,44.55%,7.27%,14.05%,39.00%,-4.36%,3.64%,24.67%,Upgrade
Enterprise Value,"22,183","19,611","21,346","14,446","11,871","8,412","7,301","6,567","4,983","5,189","4,581",Upgrade
PE Ratio,27.04,24.02,33.81,28.03,27.91,22.35,17.95,24.43,18.60,22.87,21.03,Upgrade
PS Ratio,4.92,4.51,6.51,5.15,4.65,3.82,3.81,3.56,2.73,3.00,3.35,Upgrade
PB Ratio,3.85,3.50,4.73,3.59,3.32,2.57,2.78,2.67,2.11,2.24,2.27,Upgrade
P/FCF Ratio,21.94,18.15,25.43,20.66,17.75,14.49,17.00,15.79,12.10,12.66,12.05,Upgrade
P/OCF Ratio,22.25,18.31,24.54,18.89,16.40,13.56,16.23,15.30,11.85,12.29,11.72,Upgrade
EV/Sales Ratio,5.86,5.49,7.00,5.53,4.96,4.18,3.88,3.72,3.00,3.29,3.36,Upgrade
EV/EBITDA Ratio,17.43,16.30,21.77,17.66,16.53,13.73,12.25,11.51,9.06,10.99,9.97,Upgrade
EV/EBIT Ratio,20.64,19.28,25.79,21.15,20.13,16.72,14.96,14.18,11.28,14.09,12.25,Upgrade
EV/FCF Ratio,26.11,22.05,27.35,22.16,18.94,15.84,17.31,16.49,13.32,13.88,12.09,Upgrade
Debt / Equity Ratio,0.85,0.90,0.52,0.60,0.51,0.50,0.38,0.45,0.53,0.57,0.24,Upgrade
Debt / EBITDA Ratio,3.23,3.44,2.25,2.77,2.40,2.46,1.64,1.88,2.08,2.54,1.04,Upgrade
Debt / FCF Ratio,4.85,4.65,2.82,3.48,2.75,2.84,2.31,2.70,3.06,3.21,1.27,Upgrade
Current Ratio,1.14,1.09,1.25,1.26,1.22,1.22,1.13,1.20,1.16,1.24,1.02,Upgrade
Asset Turnover,0.28,0.28,0.32,0.31,0.33,0.34,0.32,0.34,0.33,0.34,0.40,Upgrade
Return on Equity (ROE),15.20%,15.30%,14.60%,13.20%,12.30%,11.90%,16.10%,11.30%,11.40%,9.90%,11.20%,Upgrade
Return on Assets (ROA),5.20%,5.30%,6.20%,5.70%,5.40%,5.80%,6.80%,4.90%,4.90%,4.50%,6.30%,Upgrade
Return on Capital (ROIC),22.00%,21.10%,37.40%,34.50%,34.40%,59.40%,78.90%,60.00%,50.30%,49.90%,183.30%,Upgrade
Earnings Yield,3.69%,4.16%,2.96%,3.57%,3.58%,4.47%,5.57%,4.09%,5.38%,4.37%,4.76%,Upgrade
FCF Yield,4.56%,5.51%,3.93%,4.84%,5.63%,6.90%,5.88%,6.33%,8.27%,7.90%,8.30%,Upgrade
Dividend Yield,0.68%,0.74%,0.54%,0.73%,0.82%,1.11%,1.08%,1.12%,1.41%,1.24%,1.16%,Upgrade
Payout Ratio,17.90%,17.70%,18.30%,20.50%,22.90%,24.60%,19.40%,27.40%,26.30%,28.70%,24.70%,Upgrade
Buyback Yield / Dilution,-0.74%,-0.28%,0.57%,-0.82%,-0.91%,-0.14%,0.57%,0.54%,-0.02%,-0.19%,-0.43%,Upgrade
Total Shareholder Return,-0.06%,0.46%,1.12%,-0.09%,-0.09%,0.96%,1.65%,1.66%,1.39%,1.05%,0.72%,Upgrade
