Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Market Capitalization,177,227,258,154,226,225,265,246,145,148,138,Upgrade
Market Cap Growth,-,-11.90%,66.84%,-31.73%,0.44%,-15.04%,7.69%,69.78%,-2.35%,7.95%,-,Upgrade
Enterprise Value,59,30,-3,-55,323,332,418,335,201,229,99,Upgrade
PE Ratio,4.42,6.06,9.69,26.15,12.41,12.92,19.16,19.93,16.28,33.30,27.23,Upgrade
PS Ratio,1.80,2.46,3.50,3.08,3.86,3.97,4.60,5.14,3.37,4.56,4.67,Upgrade
PB Ratio,0.73,0.95,1.27,0.87,1.24,1.29,1.65,1.69,1.10,1.15,1.98,Upgrade
P/FCF Ratio,2.81,2.92,6.64,84.59,37.78,13.54,14.17,27.43,11.87,20.82,67.37,Upgrade
P/OCF Ratio,2.61,2.74,7.45,-102.10,34.10,11.27,12.88,14.17,11.02,16.19,46.63,Upgrade
EV/Sales Ratio,0.60,0.33,-0.04,-1.10,5.52,5.85,7.26,7.00,4.68,7.03,3.38,Upgrade
EV/EBITDA Ratio,1.07,0.59,-0.07,-5.20,12.28,14.52,15.70,16.71,13.05,29.10,12.59,Upgrade
EV/EBIT Ratio,1.15,0.63,-0.08,-7.53,14.09,15.70,16.65,18.28,14.65,34.54,13.75,Upgrade
EV/FCF Ratio,0.93,0.39,-0.07,-30.12,54.01,19.98,22.38,37.32,16.49,32.11,48.75,Upgrade
Debt / Equity Ratio,0.66,0.67,0.42,1.13,0.96,1.06,1.39,1.27,1.10,1.00,0.63,Upgrade
Debt / EBITDA Ratio,2.91,3.10,2.26,18.93,6.66,8.09,8.41,9.23,9.40,16.40,5.57,Upgrade
Debt / FCF Ratio,2.53,2.05,2.18,109.73,29.27,11.14,11.99,20.63,11.88,18.10,21.56,Upgrade
Asset Turnover,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),16.90%,16.50%,13.70%,3.40%,10.20%,10.20%,8.90%,8.80%,6.70%,4.10%,8.30%,Upgrade
Return on Assets (ROA),1.40%,1.40%,1.20%,0.30%,1.00%,0.90%,0.80%,0.80%,0.70%,0.50%,0.70%,Upgrade
Return on Capital (ROIC),1.80%,1.80%,1.60%,0.40%,1.20%,1.10%,1.30%,1.10%,1.10%,0.70%,1.00%,Upgrade
Earnings Yield,22.39%,16.49%,10.32%,3.82%,8.06%,7.74%,5.22%,5.02%,6.14%,3.00%,3.67%,Upgrade
FCF Yield,35.59%,34.25%,15.07%,1.18%,2.65%,7.38%,7.06%,3.65%,8.42%,4.80%,1.48%,Upgrade
Dividend Yield,3.55%,3.37%,1.93%,2.81%,1.79%,1.66%,0.81%,0.67%,0.25%,-,-,Upgrade
Payout Ratio,19.50%,20.70%,18.90%,74.70%,22.40%,21.50%,15.60%,13.40%,4.10%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,1.33%,1.57%,-0.17%,0.46%,-0.12%,-1.37%,-2.39%,-4.91%,-27.38%,-62.41%,-20.48%,Upgrade
Total Shareholder Return,4.88%,4.93%,1.76%,3.28%,1.67%,0.29%,-1.58%,-4.24%,-27.14%,-62.41%,-20.48%,Upgrade
