Year,Current,2022,2021,2020,2019
Market Capitalization,295,95,881,-,-
Market Cap Growth,-,-89.23%,-,-,-
Enterprise Value,291,122,687,22,20
PE Ratio,-0.88,-0.40,39.81,-,-
PS Ratio,2.24,0.67,5.20,-,-
PB Ratio,1.08,0.37,2.09,-,-
P/FCF Ratio,-3.89,-0.64,-3.74,-,-
P/OCF Ratio,4.44,2.62,-20.34,-,-
EV/Sales Ratio,2.20,0.86,4.05,0.65,0.62
EV/EBITDA Ratio,-1.00,-0.58,7.80,4.72,2.30
EV/EBIT Ratio,-0.73,-0.43,10.80,-3.33,10.65
EV/FCF Ratio,-3.82,-0.83,-2.92,6.20,-1.23
Debt / Equity Ratio,0.14,0.25,0.20,1.84,0.79
Debt / EBITDA Ratio,-0.18,-0.31,0.96,5.97,2.54
Debt / FCF Ratio,-0.67,-0.44,-0.36,7.84,-1.36
Current Ratio,1.70,1.03,2.84,0.32,1.63
Asset Turnover,0.35,0.31,0.54,0.66,-
Return on Equity (ROE),-87.40%,-72.80%,8.50%,-74.80%,-
Return on Assets (ROA),-64.50%,-52.20%,7.00%,-31.20%,-
Return on Capital (ROIC),-83.00%,-68.00%,26.40%,-11.90%,-
Earnings Yield,-83.26%,-251.86%,2.51%,-,-
FCF Yield,-18.91%,-156.17%,-26.73%,-,-
Buyback Yield / Dilution,-15.54%,-22.66%,-99.48%,-19.50%,-
Total Shareholder Return,-15.54%,-22.66%,-99.48%,-19.50%,-
