Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2008
Market Capitalization,197,184,265,211,62,137,559,"1,503","1,099",933,794,Upgrade
Market Cap Growth,-,-30.47%,25.27%,238.75%,-54.45%,-75.50%,-62.84%,36.79%,17.82%,17.50%,19.48%,Upgrade
Enterprise Value,416,393,454,330,210,61,664,"1,705","1,116",900,"1,063",Upgrade
PE Ratio,3.80,3.32,2.25,2.64,-0.47,-0.24,-2.81,98.73,10.97,12.10,9.03,Upgrade
PS Ratio,2.99,3.16,2.68,1.15,0.11,0.06,0.26,0.73,0.43,0.39,0.38,Upgrade
PB Ratio,0.75,0.65,0.69,0.40,0.12,0.25,0.45,1.11,0.82,0.75,0.71,Upgrade
P/FCF Ratio,-1.51,-0.94,-0.67,-0.39,-0.05,0.75,1.22,3.20,1.73,1.43,2.17,Upgrade
P/OCF Ratio,-1.51,-0.94,-0.67,-0.39,-0.05,0.75,1.22,3.20,1.73,1.43,2.17,Upgrade
EV/Sales Ratio,6.15,6.76,4.60,1.79,0.36,0.03,0.31,0.83,0.43,0.38,0.50,Upgrade
EV/EBITDA Ratio,-7.64,-9.49,8.37,4.74,-1.99,-0.12,-4.58,18.91,6.75,5.18,6.50,Upgrade
EV/EBIT Ratio,-8.04,-9.52,9.87,5.42,-1.85,-0.12,-4.33,21.98,7.17,6.74,7.36,Upgrade
EV/FCF Ratio,-3.03,-2.01,-1.15,-0.61,-0.18,0.33,1.45,3.63,1.76,1.38,2.90,Upgrade
Debt / Equity Ratio,0.94,0.90,0.66,0.48,0.50,0.46,0.21,0.26,0.26,0.29,0.43,Upgrade
Debt / EBITDA Ratio,-4.57,-6.18,4.71,3.66,-2.41,-0.49,-1.75,3.90,2.12,2.07,2.98,Upgrade
Debt / FCF Ratio,-1.82,-1.30,-0.65,-0.47,-0.22,1.40,0.55,0.75,0.55,0.55,1.33,Upgrade
Asset Turnover,0.04,0.03,0.04,0.06,0.14,0.34,0.32,0.33,0.46,0.47,0.47,Upgrade
Return on Equity (ROE),13.80%,16.70%,29.40%,15.40%,-23.80%,-63.50%,-14.40%,1.00%,7.90%,6.40%,8.60%,Upgrade
Return on Assets (ROA),2.20%,2.70%,4.70%,2.60%,-3.20%,-9.00%,-3.00%,0.20%,1.80%,1.50%,2.00%,Upgrade
Return on Capital (ROIC),-2.50%,-1.80%,1.70%,1.90%,-2.70%,-8.30%,-2.30%,1.20%,2.80%,2.70%,3.20%,Upgrade
Earnings Yield,21.02%,30.14%,44.47%,37.87%,-211.61%,-416.69%,-35.64%,1.01%,9.11%,8.26%,11.08%,Upgrade
FCF Yield,-69.31%,-106.52%,-149.11%,-256.58%,-1833.05%,133.20%,82.10%,31.28%,57.73%,69.88%,46.15%,Upgrade
Dividend Yield,-,-,-,-,21.24%,9.20%,2.98%,4.13%,3.66%,3.66%,Upgrade,
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,-5.10%,-25.90%,285.00%,39.00%,43.40%,31.40%,Upgrade
Buyback Yield / Dilution,-17.33%,-1.21%,-2.06%,-1.53%,-0.01%,3.07%,-8.88%,8.12%,-15.54%,3.01%,-4.53%,Upgrade
Total Shareholder Return,-17.33%,-1.21%,-2.06%,-1.53%,-0.01%,24.31%,0.32%,11.10%,-11.41%,6.67%,-0.87%,Upgrade
