Year,Current,2022,2021,2020
Market Capitalization,505,621,615,525
Market Cap Growth,-,1.02%,17.14%,-
Enterprise Value,506,622,616,523
PE Ratio,25.90,25.79,287.92,-107.83
PB Ratio,-29.61,-29.61,-14.86,-12.07
P/FCF Ratio,-423.34,-423.34,-251.20,-14214.16
P/OCF Ratio,-423.34,-423.34,-251.20,-14214.16
EV/EBITDA Ratio,19.83,24.38,281.22,-107.52
EV/EBIT Ratio,19.83,24.38,281.22,-107.52
EV/FCF Ratio,-423.95,-423.95,-251.46,-14173.41
Debt / Equity Ratio,-0.05,-0.05,-0.02,-
Debt / EBITDA Ratio,0.04,0.04,0.39,-
Debt / FCF Ratio,-0.68,-0.68,-0.35,-
Current Ratio,0.11,0.11,1.69,0.03
Return on Equity (ROE),-94.50%,-94.50%,-10.60%,-
Return on Assets (ROA),4.80%,4.80%,0.40%,-
Return on Capital (ROIC),5.20%,5.20%,0.40%,-
Earnings Yield,4.77%,3.88%,0.35%,-0.93%
FCF Yield,-0.29%,-0.24%,-0.40%,-0.01%
Buyback Yield / Dilution,-,-342.58%,-,
Total Shareholder Return,-,-342.58%,-,
