Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2001
Market Capitalization,262,425,514,318,420,311,408,399,317,273,253,Upgrade
Market Cap Growth,-,-17.34%,61.82%,-24.29%,34.95%,-23.72%,2.31%,25.64%,16.37%,7.87%,34.71%,Upgrade
Enterprise Value,820,884,521,144,592,469,480,457,394,432,359,Upgrade
PE Ratio,6.43,9.16,10.37,9.72,14.63,10.91,17.68,17.32,14.59,13.61,14.96,Upgrade
PS Ratio,2.65,4.07,4.84,3.95,5.66,4.44,5.94,6.22,5.16,4.64,4.59,Upgrade
PB Ratio,1.21,2.01,1.98,1.42,1.98,1.63,2.29,2.41,2.08,1.95,2.04,Upgrade
P/FCF Ratio,10.53,11.15,10.47,7.95,11.49,9.01,14.41,22.78,11.06,11.36,11.93,Upgrade
P/OCF Ratio,5.65,7.15,8.89,7.52,11.36,8.95,13.89,13.16,10.17,10.37,10.81,Upgrade
EV/Sales Ratio,8.27,8.47,4.91,1.79,7.98,6.69,6.99,7.13,6.40,7.36,6.52,Upgrade
EV/EBITDA Ratio,15.11,14.52,8.09,3.35,15.92,12.86,12.71,13.44,12.16,15.69,14.36,Upgrade
EV/EBIT Ratio,15.57,14.89,8.29,3.48,16.56,13.37,13.18,13.86,12.52,16.19,14.82,Upgrade
EV/FCF Ratio,32.94,23.20,10.61,3.60,16.21,13.58,16.96,26.11,13.72,18.00,16.94,Upgrade
Debt / Equity Ratio,2.67,2.30,0.77,0.99,1.06,1.07,0.68,0.82,0.98,1.42,1.20,Upgrade
Debt / EBITDA Ratio,10.69,7.98,3.10,5.19,6.06,5.63,3.18,3.97,4.60,7.23,5.94,Upgrade
Debt / FCF Ratio,23.31,12.74,4.07,5.56,6.17,5.95,4.25,7.72,5.19,8.30,7.01,Upgrade
Asset Turnover,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),19.50%,21.50%,20.00%,15.40%,14.10%,15.50%,13.20%,14.20%,14.70%,15.00%,13.40%,Upgrade
Return on Assets (ROA),1.20%,1.30%,1.50%,1.20%,1.20%,1.30%,1.20%,1.30%,1.30%,1.30%,1.20%,Upgrade
Return on Capital (ROIC),1.30%,1.50%,1.90%,1.40%,1.40%,1.50%,1.70%,1.70%,1.80%,1.60%,1.50%,Upgrade
Earnings Yield,15.66%,10.91%,9.64%,10.29%,6.83%,9.16%,5.66%,5.77%,6.85%,7.35%,6.68%,Upgrade
FCF Yield,9.49%,8.97%,9.55%,12.57%,8.70%,11.10%,6.94%,4.39%,9.04%,8.80%,8.38%,Upgrade
Dividend Yield,6.37%,3.91%,3.03%,4.35%,3.24%,4.09%,2.82%,2.71%,3.14%,2.88%,2.65%,Upgrade
Payout Ratio,40.50%,35.80%,31.30%,42.20%,47.40%,44.60%,50.00%,46.90%,45.90%,39.20%,41.20%,Upgrade
Buyback Yield / Dilution,-0.52%,-0.52%,-0.52%,-0.55%,-0.52%,-0.49%,-0.48%,-0.46%,-0.29%,-0.27%,8.20%,Upgrade
Total Shareholder Return,5.86%,3.40%,2.51%,3.81%,2.72%,3.59%,2.34%,2.25%,2.85%,2.61%,10.86%,Upgrade
