Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"9,085","16,252","21,535","16,024","19,936","15,290","21,691","19,745","11,018","12,042","12,033",Upgrade
Market Cap Growth,-,-24.53%,34.40%,-19.62%,30.38%,-29.51%,9.86%,79.20%,-8.50%,0.07%,53.07%,Upgrade
Enterprise Value,"42,489","44,135","33,425","29,621","32,744","29,207","36,364","33,762","21,500","20,262","20,943",Upgrade
PE Ratio,5.29,9.03,8.55,12.95,12.31,8.49,17.69,26.19,12.34,13.72,13.57,Upgrade
PS Ratio,1.36,2.41,2.80,2.83,3.37,2.48,3.60,4.18,2.71,2.99,3.04,Upgrade
PB Ratio,0.63,1.21,1.24,0.89,1.17,0.98,1.44,1.30,1.02,1.14,1.17,Upgrade
P/FCF Ratio,2.16,3.70,19.74,9.95,7.02,6.35,12.74,12.79,10.42,9.84,8.27,Upgrade
P/OCF Ratio,2.11,3.64,18.68,9.58,6.86,6.10,11.95,11.69,9.74,9.12,7.78,Upgrade
EV/Sales Ratio,6.34,6.55,4.35,5.23,5.53,4.73,6.03,7.15,5.29,5.02,5.30,Upgrade
EV/EBITDA Ratio,18.26,17.83,10.13,17.62,14.41,11.27,15.54,26.29,14.67,13.76,14.94,Upgrade
EV/EBIT Ratio,19.37,18.87,10.23,18.87,16.12,13.22,18.81,34.81,17.64,16.53,17.73,Upgrade
EV/FCF Ratio,10.08,10.06,30.64,18.40,11.53,12.12,21.35,21.87,20.34,16.55,14.39,Upgrade
Debt / Equity Ratio,2.39,2.14,0.73,0.82,0.79,0.94,1.02,0.96,1.03,0.84,0.92,Upgrade
Debt / EBITDA Ratio,14.69,11.62,3.88,8.74,5.96,5.63,6.56,11.44,7.56,6.03,6.80,Upgrade
Debt / FCF Ratio,8.11,6.56,11.74,9.12,4.77,6.06,9.01,9.52,10.49,7.25,6.55,Upgrade
Asset Turnover,0.04,0.04,0.04,0.03,0.04,0.05,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),11.90%,12.70%,14.30%,7.00%,9.70%,11.80%,8.10%,5.70%,8.40%,8.40%,8.60%,Upgrade
Return on Assets (ROA),0.90%,1.00%,1.40%,0.70%,1.10%,1.30%,0.90%,0.60%,0.90%,1.00%,1.00%,Upgrade
Return on Capital (ROIC),1.00%,1.10%,1.70%,0.90%,1.30%,1.50%,1.30%,0.80%,1.20%,1.20%,1.20%,Upgrade
Earnings Yield,18.21%,11.07%,11.70%,7.72%,8.13%,11.77%,5.65%,3.82%,8.10%,7.29%,7.37%,Upgrade
FCF Yield,46.38%,27.01%,5.07%,10.05%,14.24%,15.76%,7.85%,7.82%,9.59%,10.16%,12.09%,Upgrade
Dividend Yield,8.54%,4.54%,3.33%,4.50%,3.57%,3.90%,1.91%,1.57%,2.22%,1.82%,1.63%,Upgrade
Payout Ratio,44.90%,40.70%,28.30%,57.80%,43.60%,32.70%,33.30%,40.70%,27.40%,24.80%,21.90%,Upgrade
Buyback Yield / Dilution,-0.02%,2.54%,1.78%,2.74%,4.97%,3.12%,-15.99%,-11.14%,3.84%,3.77%,3.25%,Upgrade
Total Shareholder Return,8.52%,7.08%,5.12%,7.24%,8.54%,7.01%,-14.08%,-9.57%,6.06%,5.59%,4.88%,Upgrade
