Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Market Capitalization,156,195,201,74,101,92,99,71,62,64,51,Upgrade
Market Cap Growth,-,-2.88%,172.86%,-27.39%,10.12%,-6.64%,39.26%,15.24%,-4.41%,26.49%,-,Upgrade
Enterprise Value,126,165,-297,73,82,73,115,52,41,28,27,Upgrade
PE Ratio,6.68,8.33,19.97,9.24,15.17,10.88,15.06,12.33,19.71,33.90,7.38,Upgrade
PS Ratio,2.33,2.91,3.69,2.56,3.89,3.47,3.68,3.00,2.97,3.26,1.58,Upgrade
PB Ratio,1.17,1.46,1.24,0.89,1.33,1.30,1.52,1.20,1.09,1.06,0.88,Upgrade
P/FCF Ratio,5.49,6.86,17.03,8.14,11.08,8.45,11.85,15.03,11.89,9.39,6.22,Upgrade
P/OCF Ratio,6.89,8.61,15.39,7.96,10.86,7.84,11.22,13.39,11.10,8.42,5.90,Upgrade
EV/Sales Ratio,1.87,2.46,-5.46,2.52,3.16,2.76,4.27,2.20,1.99,1.43,0.84,Upgrade
EV/EBITDA Ratio,3.74,4.90,-18.22,6.05,8.75,6.23,9.38,5.41,7.50,8.06,2.38,Upgrade
EV/EBIT Ratio,4.41,5.77,-24.95,7.23,10.03,6.95,10.45,6.24,9.53,12.00,2.68,Upgrade
EV/FCF Ratio,4.42,5.79,-25.18,8.02,9.00,6.72,13.75,11.05,7.95,4.12,3.31,Upgrade
Debt / Equity Ratio,0.07,0.07,0.06,0.41,-,-,0.52,0.33,0.41,0.30,0.28,Upgrade
Debt / EBITDA Ratio,0.29,0.29,0.64,2.80,-,-,2.79,2.05,4.22,5.13,1.43,Upgrade
Debt / FCF Ratio,0.34,0.34,0.89,3.71,-,-,4.09,4.18,4.48,2.63,1.99,Upgrade
Asset Turnover,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.06,Upgrade
Return on Equity (ROE),17.40%,17.40%,7.20%,10.00%,9.00%,12.30%,10.30%,9.90%,5.40%,3.20%,12.30%,Upgrade
Return on Assets (ROA),1.30%,1.30%,0.60%,1.00%,1.00%,1.30%,1.00%,1.00%,0.60%,0.40%,1.40%,Upgrade
Return on Capital (ROIC),1.90%,1.90%,0.90%,1.30%,1.30%,1.60%,1.70%,1.50%,0.80%,0.50%,2.20%,Upgrade
Earnings Yield,14.99%,12.00%,5.01%,10.83%,6.59%,9.19%,6.64%,8.11%,5.07%,2.95%,13.56%,Upgrade
FCF Yield,18.20%,14.57%,5.87%,12.29%,9.02%,11.84%,8.44%,6.65%,8.41%,10.65%,16.09%,Upgrade
Dividend Yield,4.20%,3.27%,3.17%,4.42%,3.18%,3.13%,1.68%,1.81%,1.64%,1.27%,1.15%,Upgrade
Payout Ratio,27.30%,27.30%,55.60%,40.70%,48.20%,34.00%,25.10%,22.20%,33.60%,43.30%,8.50%,Upgrade
Buyback Yield / Dilution,-0.36%,-0.36%,-95.57%,-0.83%,-0.80%,-0.48%,-1.77%,2.75%,9.78%,-0.35%,-,Upgrade
Total Shareholder Return,3.84%,2.92%,-92.40%,3.59%,2.38%,2.65%,-0.09%,4.56%,11.41%,0.92%,1.15%,Upgrade
