Year,Current,2021
Market Capitalization,320,-
Enterprise Value,449,-8
PE Ratio,60.87,-
PS Ratio,48.58,-
PB Ratio,13.75,-
P/FCF Ratio,-82.12,-
P/OCF Ratio,-82.12,-
EV/Sales Ratio,45.98,-0.99
EV/EBITDA Ratio,97.17,-2.12
EV/EBIT Ratio,99.59,-2.15
EV/FCF Ratio,-77.46,-6.59
Debt / Equity Ratio,0.01,0.02
Debt / EBITDA Ratio,0.04,0.07
Debt / FCF Ratio,-0.04,0.21
Asset Turnover,0.37,0.65
Return on Equity (ROE),21.20%,41.20%
Return on Assets (ROA),16.80%,28.90%
Return on Capital (ROIC),48.50%,75.60%
Earnings Yield,0.94%,-
FCF Yield,-1.15%,-
Buyback Yield / Dilution,-10.93%,-
Total Shareholder Return,-10.93%,-
