Year,Current,2022,2021,2020,2019,2018,2017,2016
Market Capitalization,40,66,70,48,53,-,-,-
Market Cap Growth,-,-5.44%,47.39%,-9.63%,-,-,-,-
Enterprise Value,110,110,61,26,60,23,23,42
PE Ratio,-109.90,-447.37,823.79,36.07,117.08,-,-,-
PS Ratio,2.68,4.15,4.13,2.54,3.19,-,-,-
PB Ratio,0.57,0.88,0.77,0.79,0.90,-,-,-
P/FCF Ratio,24.42,27.61,27.63,48.58,48.72,-,-,-
P/OCF Ratio,22.30,25.61,25.22,37.53,55.57,-,-,-
EV/Sales Ratio,6.85,6.91,3.57,1.39,3.65,1.51,1.53,2.73
EV/EBITDA Ratio,-822.86,392.74,89.66,7.03,53.01,49.95,-20.31,21.68
EV/EBIT Ratio,-163.19,-345.96,2881.96,8.55,136.74,-119.02,-12.52,33.29
EV/FCF Ratio,62.40,46.02,23.88,26.71,55.76,-12.47,-115.80,34.73
Debt / Equity Ratio,1.26,0.96,0.63,1.19,0.33,0.82,0.90,1.33
Debt / EBITDA Ratio,-675.80,257.98,84.89,19.15,17.01,66.92,-31.54,25.73
Debt / FCF Ratio,54.43,30.23,22.61,72.74,17.89,-16.71,-179.89,41.20
Asset Turnover,0.03,0.03,0.03,0.04,0.04,0.03,0.03,-
Return on Equity (ROE),-0.60%,-0.20%,0.10%,2.20%,0.80%,0.00%,4.30%,-
Return on Assets (ROA),-0.10%,0.00%,0.00%,0.30%,0.10%,0.00%,0.40%,-
Return on Capital (ROIC),-0.10%,-0.10%,0.00%,0.60%,0.10%,0.00%,-0.40%,-
Earnings Yield,-1.05%,-0.22%,0.12%,2.77%,0.85%,-,-,-
FCF Yield,4.09%,3.62%,3.62%,2.06%,2.05%,-,-,-
Buyback Yield / Dilution,5.76%,6.71%,-32.13%,24.31%,3.55%,-,-,-
Total Shareholder Return,5.76%,6.71%,-32.13%,24.31%,3.55%,-,-,-
