Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2002
Market Capitalization,"14,900","20,147","20,782","15,482","16,553","13,833","20,044","17,677","12,532","14,536","13,624",Upgrade
Market Cap Growth,-,-3.06%,34.23%,-6.47%,19.66%,-30.99%,13.39%,41.05%,-13.78%,6.69%,35.23%,Upgrade
Enterprise Value,"10,374","11,204","-6,222","1,095","22,368","24,319","24,695","19,989","15,577","16,247","15,363",Upgrade
PE Ratio,6.79,9.39,8.66,15.62,11.01,8.16,16.72,16.08,12.56,13.27,12.87,Upgrade
PS Ratio,2.09,2.90,2.99,3.12,3.02,2.50,3.75,3.43,2.44,2.84,2.61,Upgrade
PB Ratio,0.88,1.26,1.13,0.86,1.02,0.92,1.24,1.06,0.74,0.86,0.86,Upgrade
P/FCF Ratio,5.68,6.69,7.07,7.07,6.89,6.51,9.34,9.65,10.19,7.79,3.83,Upgrade
P/OCF Ratio,5.49,6.49,6.86,6.66,6.41,6.08,8.73,8.68,7.84,6.90,3.64,Upgrade
EV/Sales Ratio,1.46,1.61,-0.89,0.22,4.09,4.40,4.62,3.88,3.03,3.18,2.94,Upgrade
EV/EBITDA Ratio,3.27,3.58,-1.80,0.67,9.59,9.56,10.49,9.16,7.88,7.50,6.78,Upgrade
EV/EBIT Ratio,3.62,4.03,-2.01,0.90,11.74,11.68,13.58,12.42,10.72,9.89,9.48,Upgrade
EV/FCF Ratio,3.96,3.72,-2.12,0.50,9.31,11.45,11.50,10.91,12.66,8.71,4.32,Upgrade
Debt / Equity Ratio,0.26,0.14,0.13,0.20,0.61,0.93,0.53,0.47,0.50,0.34,0.44,Upgrade
Debt / EBITDA Ratio,1.36,0.73,0.69,2.19,4.26,5.51,3.67,3.56,4.23,2.64,3.10,Upgrade
Debt / FCF Ratio,1.64,0.76,0.82,1.63,4.13,6.60,4.02,4.24,6.80,3.06,1.97,Upgrade
Asset Turnover,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),13.70%,13.30%,13.10%,5.60%,9.20%,11.00%,7.20%,6.40%,5.90%,6.50%,6.80%,Upgrade
Return on Assets (ROA),1.40%,1.30%,1.50%,0.70%,1.20%,1.40%,1.00%,0.90%,0.80%,0.90%,0.90%,Upgrade
Return on Capital (ROIC),2.00%,2.00%,2.40%,0.90%,1.40%,1.60%,1.50%,1.30%,1.20%,1.40%,1.40%,Upgrade
Earnings Yield,14.83%,10.65%,11.55%,6.40%,9.08%,12.25%,5.98%,6.22%,7.96%,7.53%,7.77%,Upgrade
FCF Yield,17.60%,14.95%,14.14%,14.15%,14.52%,15.35%,10.71%,10.36%,9.81%,12.83%,26.12%,Upgrade
Dividend Yield,4.85%,3.46%,3.01%,3.85%,3.56%,3.66%,1.88%,1.82%,2.45%,1.72%,1.03%,Upgrade
Payout Ratio,32.60%,32.30%,25.90%,60.20%,39.10%,29.70%,31.20%,29.30%,30.70%,22.50%,13.20%,Upgrade
Buyback Yield / Dilution,0.53%,2.18%,-0.10%,3.70%,9.35%,8.01%,5.00%,5.47%,3.82%,1.63%,-1.66%,Upgrade
Total Shareholder Return,5.38%,5.64%,2.91%,7.56%,12.91%,11.68%,6.88%,7.29%,6.27%,3.35%,-0.62%,Upgrade
