Year,Current,2022,2021,2020,2019
Market Capitalization,183,23,91,-,-
Market Cap Growth,-,-74.11%,-,-,-
Enterprise Value,161,-2,59,3,1
PE Ratio,-34.37,-30.16,385.47,-,-
PS Ratio,2.92,0.40,2.28,-,-
PB Ratio,4.72,0.60,2.18,-,-
P/FCF Ratio,-2.29,-7.72,-15.96,-,-
P/OCF Ratio,-2.43,-9.73,-17.14,-,-
EV/Sales Ratio,2.58,-0.03,1.50,0.09,0.04
EV/EBITDA Ratio,-8.91,1.79,83.54,2.00,1.58
EV/EBIT Ratio,-5.25,0.97,224.69,2.30,1.99
EV/FCF Ratio,-0.77,0.50,-10.46,-1.59,1.77
Debt / Equity Ratio,0.02,0.02,0.03,2.51,6.30
Debt / EBITDA Ratio,-0.78,-1.12,1.77,2.38,4.46
Debt / FCF Ratio,-0.07,-0.31,-0.22,-1.89,5.00
Current Ratio,4.94,3.48,6.07,1.16,0.98
Asset Turnover,1.21,1.07,1.23,2.97,-
Return on Equity (ROE),-2.40%,-1.90%,1.10%,92.40%,-
Return on Assets (ROA),-1.80%,-1.40%,0.70%,8.10%,-
Return on Capital (ROIC),-10.30%,-11.10%,3.20%,30.70%,-
Earnings Yield,-0.51%,-3.32%,0.26%,-,-
FCF Yield,-7.63%,-12.95%,-6.26%,-,-
Buyback Yield / Dilution,7.89%,8.66%,-110.24%,-,-
Total Shareholder Return,7.89%,8.66%,-110.24%,-,-
