Year,Current,2022,2021,2020,2019,2018,2017,2016
Market Capitalization,"2,241","1,283","4,816","4,573","1,539",954,-,-
Market Cap Growth,-,-73.37%,5.31%,197.23%,61.32%,-,-,-
Enterprise Value,"2,312","1,417","4,961","4,666","1,570",983,43,25
PE Ratio,403.64,2270.04,891.39,492.45,431.35,-107.13,-,-
PS Ratio,9.62,6.13,31.83,39.08,19.86,15.86,-,-
PB Ratio,126.57,120.20,-343.52,-937.93,-170.83,-112.21,-,-
P/FCF Ratio,78.87,55.50,240.37,320.37,89.75,118.76,-,-
P/OCF Ratio,54.07,35.90,135.88,185.58,72.44,92.83,-,-
EV/Sales Ratio,10.23,6.77,32.78,39.88,20.26,16.35,1.01,0.80
EV/EBITDA Ratio,107.68,82.55,291.27,168.12,166.92,-590.18,12.92,4.50
EV/EBIT Ratio,183.40,175.78,831.63,441.79,216.25,-234.77,17.50,4.92
EV/FCF Ratio,83.82,61.33,247.58,326.88,91.55,122.43,6.11,6.79
Debt / Equity Ratio,9.47,15.48,-12.48,-24.41,-5.13,-5.70,-1.18,-1.21
Debt / EBITDA Ratio,7.58,9.62,10.27,4.29,4.91,-29.08,14.52,5.22
Debt / FCF Ratio,5.90,7.15,8.73,8.34,2.69,6.03,6.86,7.88
Current Ratio,1.50,1.46,1.66,2.49,1.99,2.92,1.34,1.75
Asset Turnover,0.72,0.69,0.64,0.89,1.59,2.00,3.36,-
Return on Equity (ROE),36.30%,87.80%,-67.90%,-157.80%,10.50%,-29.90%,0.00%,-
Return on Assets (ROA),0.90%,0.20%,2.30%,7.10%,7.30%,-29.60%,0.00%,-
Return on Capital (ROIC),3.00%,1.90%,1.80%,6.20%,10.60%,-7.60%,5.90%,-
Earnings Yield,0.13%,0.04%,0.11%,0.20%,0.23%,-0.93%,-,-
FCF Yield,1.27%,1.80%,0.42%,0.31%,1.11%,0.84%,-,-
Dividend Yield,-,0.70%,0.46%,0.43%,-,-,-,
Payout Ratio,0.00%,0.00%,582.10%,208.90%,170.80%,0.00%,0.00%,-
Buyback Yield / Dilution,-14.65%,-4.61%,-13.22%,-14.18%,-18.78%,6.99%,-,-
Total Shareholder Return,-14.65%,-4.61%,-12.51%,-13.72%,-18.36%,6.99%,-,-
