Year,Current,2022,2021,2020,2019
Market Capitalization,"15,703","5,278","9,486",698,-
Market Cap Growth,-,-44.36%,1260.00%,-,-
Enterprise Value,"21,987","14,008","26,979","7,679",0
PE Ratio,56.44,126.53,96.36,0.21,-
PS Ratio,9.19,2.23,3.19,0.14,-
PB Ratio,127.58,36.77,66.62,0.29,-
P/FCF Ratio,-5.16,0.64,-0.95,-796.27,-
P/OCF Ratio,-5.25,0.64,-0.95,12.36,-
EV/Sales Ratio,12.84,5.90,9.08,1.55,0.00
EV/EBITDA Ratio,60.30,35.03,59.83,2.15,0.00
EV/EBIT Ratio,69.91,39.96,65.33,2.16,0.00
EV/FCF Ratio,-9.27,1.70,-2.69,-8765.88,0.00
Debt / Equity Ratio,56.70,65.72,127.98,3.46,-10.71
Debt / EBITDA Ratio,19.18,23.59,40.41,2.30,0.00
Debt / FCF Ratio,-4.60,1.14,-1.82,-9366.68,0.00
Current Ratio,-,-,-,0.05,0.97
Asset Turnover,0.14,0.20,0.18,1.55,-
Return on Equity (ROE),5.70%,29.60%,79.40%,566.30%,-
Return on Assets (ROA),0.10%,0.40%,0.60%,105.90%,-
Return on Capital (ROIC),1.70%,1.90%,1.50%,72.00%,-
Earnings Yield,0.05%,0.79%,1.04%,484.93%,-
FCF Yield,-9.66%,156.14%,-105.65%,-0.13%,-
Dividend Yield,7.89%,0.70%,6.76%,-,-
Payout Ratio,333.30%,88.90%,40.80%,0.00%,-
Buyback Yield / Dilution,94.17%,94.23%,-89.89%,-361.96%,-
Total Shareholder Return,102.05%,94.93%,-83.13%,-361.96%,-
