Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2005
Market Capitalization,91,137,151,112,154,169,167,216,197,185,173,Upgrade
Market Cap Growth,-,-9.57%,35.54%,-27.43%,-8.96%,1.16%,-22.65%,9.57%,6.36%,7.29%,21.56%,Upgrade
Enterprise Value,179,264,180,157,274,301,369,358,219,218,238,Upgrade
PE Ratio,7.51,10.33,12.34,13.04,14.83,11.33,19.69,24.27,21.50,17.33,7.06,Upgrade
PS Ratio,1.78,2.63,3.12,2.59,3.55,3.51,4.15,6.07,5.81,5.28,5.39,Upgrade
PB Ratio,0.57,0.85,0.96,0.71,0.98,1.10,1.17,1.56,1.15,1.02,0.94,Upgrade
P/FCF Ratio,4.66,5.05,9.21,11.51,15.22,10.34,17.97,13.98,13.19,10.08,11.36,Upgrade
P/OCF Ratio,4.52,4.88,8.20,9.32,11.75,9.04,13.79,12.50,11.78,9.96,11.35,Upgrade
EV/Sales Ratio,3.51,5.08,3.70,3.66,6.31,6.27,9.18,10.07,6.44,6.23,7.43,Upgrade
EV/EBITDA Ratio,10.45,14.22,10.36,12.42,18.52,14.90,25.15,26.18,14.71,12.62,20.29,Upgrade
EV/EBIT Ratio,11.92,16.08,11.83,14.99,21.16,16.20,27.52,28.42,15.56,13.20,21.78,Upgrade
EV/FCF Ratio,9.19,9.74,10.93,16.24,27.09,18.45,39.75,23.21,14.63,11.88,15.66,Upgrade
Debt / Equity Ratio,1.06,0.94,0.64,0.81,0.91,0.97,1.53,1.26,0.75,0.76,0.66,Upgrade
Debt / EBITDA Ratio,9.86,8.16,5.87,9.97,9.67,7.39,14.88,12.70,8.57,7.93,10.31,Upgrade
Debt / FCF Ratio,8.68,5.59,6.20,13.03,14.15,9.15,23.52,11.26,8.52,7.47,7.96,Upgrade
Asset Turnover,0.03,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),7.60%,8.40%,7.70%,5.50%,6.70%,9.80%,6.00%,5.70%,5.20%,5.80%,13.10%,Upgrade
Return on Assets (ROA),0.80%,0.90%,0.90%,0.60%,0.80%,1.20%,0.80%,0.90%,0.90%,1.20%,2.70%,Upgrade
Return on Capital (ROIC),0.90%,1.00%,1.00%,0.70%,0.90%,1.30%,1.00%,1.10%,1.40%,1.70%,1.20%,Upgrade
Earnings Yield,13.35%,9.68%,8.10%,7.67%,6.75%,8.82%,5.08%,4.12%,4.65%,5.77%,14.18%,Upgrade
FCF Yield,21.46%,19.81%,10.86%,8.69%,6.57%,9.67%,5.57%,7.15%,7.58%,9.92%,8.80%,Upgrade
Dividend Yield,4.95%,3.20%,2.75%,3.50%,2.29%,1.91%,1.69%,1.34%,1.67%,1.61%,1.15%,Upgrade
Payout Ratio,36.60%,32.70%,33.60%,45.50%,33.70%,21.50%,32.90%,32.00%,35.80%,27.80%,8.20%,Upgrade
Buyback Yield / Dilution,-0.61%,3.73%,3.12%,3.15%,3.34%,0.13%,13.23%,12.11%,8.07%,10.37%,5.96%,Upgrade
Total Shareholder Return,4.33%,6.92%,5.87%,6.65%,5.64%,2.04%,14.92%,13.45%,9.74%,11.98%,7.11%,Upgrade
