Year,Current,2022,2021,2020,2019,2018,2017,2016
Market Capitalization,61,63,83,79,78,84,105,-
Market Cap Growth,-,-23.95%,4.75%,1.05%,-6.38%,-20.34%,-,-
Enterprise Value,208,216,216,142,193,156,133,-32
PE Ratio,-29.57,-4.04,-8.06,-2.48,-10.37,-9.29,-38.12,-
PS Ratio,2.23,2.58,3.28,3.46,2.90,3.01,3.53,-
PB Ratio,0.68,0.74,1.11,0.99,0.90,0.76,0.79,-
P/FCF Ratio,-1.95,-1.51,-1.42,2.89,-3.20,-2.75,-4.32,-
P/OCF Ratio,-1.95,-1.51,-1.42,2.89,-3.20,-2.75,-4.32,-
EV/Sales Ratio,7.62,8.82,8.54,6.18,7.16,5.61,4.48,-5.53
EV/EBITDA Ratio,24.37,-44.06,1409.95,-6.20,2174.09,-46.36,-186.37,1.85
EV/EBIT Ratio,24.37,-44.06,1409.95,-6.20,2174.09,-46.36,-186.37,1.85
EV/FCF Ratio,-6.12,-5.16,-3.69,5.17,-7.91,-5.11,-5.49,-3.70
Debt / Equity Ratio,1.64,1.81,1.90,1.45,1.38,0.69,0.24,0.20
Debt / EBITDA Ratio,17.41,-31.30,928.09,-5.07,1346.20,-22.71,-43.63,-1.98
Debt / FCF Ratio,-4.22,-3.67,-2.43,4.22,-4.90,-2.51,-1.28,3.96
Asset Turnover,0.09,0.08,0.06,0.09,0.09,0.10,0.13,-
Return on Equity (ROE),-2.50%,-18.00%,-11.50%,-52.40%,-7.60%,-7.40%,-1.90%,-
Return on Assets (ROA),-0.70%,-4.90%,-2.60%,-11.80%,-2.50%,-3.20%,-1.20%,-
Return on Capital (ROIC),1.80%,-1.10%,0.00%,-6.40%,0.00%,-1.00%,-0.30%,-
Earnings Yield,-3.80%,-24.73%,-12.40%,-40.39%,-9.64%,-10.77%,-2.62%,-
FCF Yield,-57.69%,-66.26%,-70.58%,34.62%,-31.26%,-36.42%,-23.13%,-
Dividend Yield,21.20%,19.34%,11.80%,16.76%,13.69%,16.80%,11.06%,-
Payout Ratio,-250.00%,-78.30%,-95.20%,-41.50%,-142.00%,-155.20%,-415.00%,0.00%
Buyback Yield / Dilution,-66.77%,-53.47%,-83.63%,-29.85%,3.78%,8.61%,9.32%,-
Total Shareholder Return,-45.57%,-34.12%,-71.84%,-13.10%,17.48%,25.41%,20.37%,-
