Year,Current,2022,2021,2020,2019,2018,2017,2016
Market Capitalization,285,467,504,469,390,-,-,-
Market Cap Growth,-,-7.37%,7.52%,20.29%,-,-,-,-
Enterprise Value,576,851,325,362,313,112,-33,-148
PE Ratio,7.35,11.67,9.56,10.49,13.19,-,-,-
PS Ratio,1.37,2.21,2.12,2.11,2.15,-,-,-
PB Ratio,0.79,1.31,1.40,1.42,1.36,-,-,-
P/FCF Ratio,4.32,4.61,3.40,-17.98,22.62,-,-,-
P/OCF Ratio,4.15,4.53,3.36,-21.06,20.24,-,-,-
EV/Sales Ratio,2.77,4.04,1.36,1.63,1.73,0.66,-0.20,-0.90
EV/EBITDA Ratio,9.96,14.09,4.17,5.37,6.57,2.67,-0.78,-4.54
EV/EBIT Ratio,11.62,16.31,4.70,6.19,8.05,3.38,-1.02,-6.98
EV/FCF Ratio,8.73,8.41,2.19,-13.90,18.19,2.24,-0.70,-4.52
Debt / Equity Ratio,1.22,1.24,0.18,0.20,0.24,0.94,0.60,0.43
Debt / EBITDA Ratio,7.54,7.33,0.81,0.99,1.42,3.65,2.10,1.83
Debt / FCF Ratio,6.62,4.38,0.43,-2.56,3.93,3.06,1.88,1.82
Asset Turnover,0.06,0.06,0.07,0.08,0.08,0.08,0.08,-
Return on Equity (ROE),11.10%,12.00%,15.20%,14.30%,13.20%,16.70%,10.40%,-
Return on Assets (ROA),1.00%,1.10%,1.60%,1.60%,1.30%,1.20%,0.70%,-
Return on Capital (ROIC),1.30%,1.40%,2.30%,2.20%,1.70%,1.50%,1.70%,-
Earnings Yield,13.35%,8.57%,10.46%,9.53%,7.58%,-,-,-
FCF Yield,23.17%,21.68%,29.40%,-5.56%,4.42%,-,-,-
Dividend Yield,5.07%,2.83%,2.19%,2.23%,1.12%,-,-,-
Payout Ratio,36.70%,33.00%,20.90%,23.30%,14.80%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-15.69%,-7.99%,-0.28%,-15.54%,-7.32%,-0.40%,-0.05%,-
Total Shareholder Return,-10.62%,-5.16%,1.91%,-13.30%,-6.20%,-0.40%,-0.05%,-
