Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2010
Market Capitalization,"1,260","2,625","3,769","3,213","3,471","3,086","4,350","3,925","3,733","2,945","3,323",Upgrade
Market Cap Growth,-,-30.36%,17.31%,-7.43%,12.49%,-29.06%,10.82%,5.14%,26.77%,-11.37%,43.92%,Upgrade
Enterprise Value,"8,627","8,383","6,280","6,841","8,266","8,077","9,329","9,119","7,877","6,076","5,484",Upgrade
PE Ratio,4.88,9.21,9.08,16.24,11.09,9.50,7.08,17.39,14.83,14.42,15.90,Upgrade
PS Ratio,1.36,2.87,3.78,4.55,3.90,2.67,4.18,4.24,4.65,4.09,4.87,Upgrade
PB Ratio,0.51,1.08,1.24,1.08,1.17,1.06,1.44,1.62,1.66,1.44,1.72,Upgrade
P/FCF Ratio,1.22,1.95,3.21,3.80,6.07,4.50,19.42,17.80,116.11,-16.68,-13.23,Upgrade
P/OCF Ratio,1.29,2.03,3.09,3.72,5.46,3.74,13.65,12.72,17.01,-59.20,-49.51,Upgrade
EV/Sales Ratio,9.33,9.16,6.30,9.68,9.28,6.99,8.98,9.85,9.80,8.44,8.04,Upgrade
EV/EBITDA Ratio,19.77,18.52,11.90,21.25,17.35,16.83,20.02,23.27,23.15,18.71,16.07,Upgrade
EV/EBIT Ratio,24.09,22.35,13.97,27.43,20.46,19.43,23.07,27.18,26.53,20.72,17.25,Upgrade
EV/FCF Ratio,8.37,6.23,5.34,8.10,14.45,11.78,41.64,41.35,245.00,-34.41,-21.83,Upgrade
Debt / Equity Ratio,3.33,2.60,0.93,1.35,1.68,1.84,1.71,2.33,1.97,1.62,1.25,Upgrade
Debt / EBITDA Ratio,18.96,13.98,5.35,12.51,10.52,11.20,11.10,14.40,12.96,10.22,7.08,Upgrade
Debt / FCF Ratio,8.03,4.70,2.40,4.77,8.76,7.83,23.10,25.58,137.20,-18.79,-9.61,Upgrade
Asset Turnover,0.03,0.03,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.04,0.05,Upgrade
Return on Equity (ROE),10.90%,11.10%,13.40%,7.10%,10.70%,10.70%,22.80%,9.60%,11.50%,10.10%,11.10%,Upgrade
Return on Assets (ROA),0.70%,0.80%,1.20%,0.60%,1.00%,1.00%,2.10%,0.80%,1.10%,1.20%,1.50%,Upgrade
Return on Capital (ROIC),0.80%,0.90%,1.20%,0.60%,1.10%,1.10%,1.20%,1.10%,1.20%,1.50%,2.00%,Upgrade
Earnings Yield,21.48%,10.86%,11.01%,6.16%,9.02%,10.53%,14.12%,5.75%,6.74%,6.93%,6.29%,Upgrade
FCF Yield,81.73%,51.28%,31.20%,26.28%,16.48%,22.23%,5.15%,5.62%,0.86%,-6.00%,-7.56%,Upgrade
Dividend Yield,6.02%,2.88%,2.17%,2.59%,2.30%,2.81%,2.06%,2.23%,1.75%,3.62%,1.91%,Upgrade
Payout Ratio,28.70%,27.60%,20.40%,43.70%,26.80%,27.90%,15.00%,39.80%,26.60%,53.80%,31.00%,Upgrade
Buyback Yield / Dilution,11.74%,13.27%,3.57%,2.69%,7.88%,3.51%,-2.57%,-0.60%,-1.84%,-0.72%,-6.85%,Upgrade
Total Shareholder Return,17.76%,16.15%,5.74%,5.28%,10.18%,6.32%,-0.51%,1.63%,-0.09%,2.91%,-4.93%,Upgrade
