Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,"3,695","4,818","6,005","4,044","3,933","2,936","6,079","5,482","4,292","2,940","2,038",Upgrade
Market Cap Growth,-,-19.77%,48.50%,2.82%,33.96%,-51.70%,10.89%,27.71%,46.02%,44.27%,75.42%,Upgrade
Enterprise Value,245,"4,860","5,169","2,746","3,132","3,084","6,002","4,998","4,524","3,045","2,187",Upgrade
PE Ratio,7.03,8.54,10.37,13.85,9.23,7.04,14.41,20.31,23.55,24.78,23.38,Upgrade
PS Ratio,2.96,3.86,5.47,4.11,4.00,2.96,6.54,7.90,8.96,8.50,7.87,Upgrade
PB Ratio,0.79,1.03,1.24,0.95,0.95,0.78,1.76,1.96,2.93,3.24,3.26,Upgrade
P/FCF Ratio,5.03,6.55,11.80,8.05,12.07,4.75,17.59,27.86,23.28,67.95,50.87,Upgrade
P/OCF Ratio,4.83,6.30,11.07,7.33,9.26,4.16,15.81,22.66,21.34,47.93,40.62,Upgrade
EV/Sales Ratio,0.20,3.89,4.71,2.79,3.18,3.11,6.46,7.20,9.44,8.80,8.45,Upgrade
EV/EBITDA Ratio,0.28,5.46,5.89,4.49,3.54,3.86,8.23,9.79,14.06,14.75,14.03,Upgrade
EV/EBIT Ratio,0.29,5.75,6.19,4.83,3.72,4.04,8.63,10.30,14.87,15.74,14.99,Upgrade
EV/FCF Ratio,0.33,6.61,10.16,5.47,9.61,4.99,17.37,25.40,24.54,70.39,54.61,Upgrade
Debt / Equity Ratio,4.90,4.90,4.49,5.36,4.67,4.94,5.15,5.77,5.74,6.45,6.65,Upgrade
Debt / EBITDA Ratio,1.21,1.21,1.39,1.79,0.79,0.55,0.50,0.75,1.00,1.24,2.22,Upgrade
Debt / FCF Ratio,1.46,1.46,2.39,2.18,2.13,0.71,1.05,1.94,1.75,5.91,8.63,Upgrade
Current Ratio,19.88,19.88,113.65,23.37,17.35,0,0,0,0,0,0,Upgrade
Asset Turnover,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,Upgrade
Return on Equity (ROE),3.47%,12.03%,11.97%,6.83%,10.26%,11.06%,12.19%,9.67%,12.44%,13.06%,13.94%,Upgrade
Return on Assets (ROA),0.59%,2.04%,2.18%,1.07%,1.81%,1.86%,1.98%,1.43%,1.84%,1.75%,1.82%,Upgrade
Return on Capital (ROIC),0.85%,2.61%,2.89%,1.99%,3.13%,0.00%,0.00%,0.00%,0.00%,1.84%,1.99%,Upgrade
Earnings Yield,15.27%,11.71%,9.64%,7.22%,10.83%,14.21%,6.94%,4.92%,4.25%,4.03%,4.28%,Upgrade
FCF Yield,19.89%,15.26%,8.47%,12.42%,8.29%,21.07%,5.69%,3.59%,4.30%,1.47%,1.97%,Upgrade
Dividend Yield,4.17%,3.50%,2.44%,3.44%,3.08%,3.48%,1.46%,1.13%,1.10%,1.23%,1.26%,Upgrade
Payout Ratio,120.52%,29.93%,25.30%,47.71%,28.44%,24.51%,21.03%,23.03%,25.83%,30.46%,29.54%,Upgrade
Buyback Yield / Dilution,8.52%,6.88%,-0.14%,-0.33%,-0.21%,-2.33%,-20.16%,-19.87%,-11.90%,-7.81%,-3.76%,Upgrade
Total Shareholder Return,12.70%,10.38%,2.30%,3.11%,2.87%,1.15%,-18.70%,-18.73%,-10.80%,-6.59%,-2.50%,Upgrade
