Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2010
Market Capitalization,329,393,464,272,458,536,462,334,339,301,353,Upgrade
Market Cap Growth,-,-15.23%,70.24%,-40.60%,-14.44%,15.92%,38.24%,-1.39%,12.58%,-14.71%,-,Upgrade
Enterprise Value,345,288,528,626,"1,067","1,102","1,074",775,700,307,229,Upgrade
PE Ratio,8.27,11.02,29.58,11.95,16.89,65.08,39.02,29.19,42.26,29.13,39.01,Upgrade
PS Ratio,2.08,2.61,3.09,2.16,3.70,4.46,4.31,3.48,3.68,4.31,5.66,Upgrade
PB Ratio,0.72,1.01,1.17,0.67,1.12,1.31,1.16,0.93,0.91,0.80,0.96,Upgrade
P/FCF Ratio,14.76,11.70,-31.70,-4.86,-41.40,18.62,36.43,11.86,-124.54,13.65,15.80,Upgrade
P/OCF Ratio,18.83,11.29,43.38,-6.97,60.11,17.11,30.59,11.56,153.18,12.68,14.76,Upgrade
EV/Sales Ratio,2.18,1.91,3.51,4.97,8.60,9.16,10.01,8.07,7.60,4.40,3.68,Upgrade
EV/EBITDA Ratio,6.35,5.26,18.45,18.05,26.55,26.60,45.35,33.25,41.40,17.85,17.24,Upgrade
EV/EBIT Ratio,7.59,6.34,27.63,21.72,31.45,31.51,63.02,47.37,66.14,20.69,20.81,Upgrade
EV/FCF Ratio,15.47,8.57,-36.07,-11.17,-96.39,38.29,84.62,27.49,-257.05,13.93,10.27,Upgrade
Debt / Equity Ratio,0.72,-,0.29,1.16,1.66,1.56,1.76,1.37,1.29,0.14,0.01,Upgrade
Debt / EBITDA Ratio,6.08,-,4.02,13.70,16.91,15.37,29.50,21.16,28.21,3.02,0.15,Upgrade
Debt / FCF Ratio,14.82,-,-7.86,-8.48,-61.41,22.13,55.04,17.49,-175.17,2.36,0.09,Upgrade
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),8.60%,9.00%,3.90%,5.50%,6.60%,2.00%,3.10%,3.20%,2.10%,2.80%,2.40%,Upgrade
Return on Assets (ROA),0.90%,1.00%,0.40%,0.60%,0.80%,0.30%,0.40%,0.40%,0.30%,0.60%,0.60%,Upgrade
Return on Capital (ROIC),1.20%,1.30%,0.50%,0.70%,0.80%,0.90%,0.50%,0.50%,0.40%,0.90%,0.70%,Upgrade
Earnings Yield,10.83%,9.07%,3.38%,8.37%,5.92%,1.54%,2.56%,3.43%,2.37%,3.43%,2.56%,Upgrade
FCF Yield,6.78%,8.55%,-3.16%,-20.57%,-2.42%,5.37%,2.74%,8.43%,-0.80%,7.33%,6.33%,Upgrade
Dividend Yield,2.06%,1.41%,1.10%,1.71%,0.72%,-,-,-,-,-,-,Upgrade
Payout Ratio,16.50%,15.40%,32.30%,20.10%,11.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,-1.80%,4.15%,4.61%,5.99%,1.78%,-4.29%,-1.99%,7.90%,-2.15%,6.15%,5.85%,Upgrade
Total Shareholder Return,0.21%,5.56%,5.71%,7.70%,2.50%,-4.29%,-1.99%,7.90%,-2.15%,6.15%,5.85%,Upgrade
