Year,Current,2022,2021,2020
Market Capitalization,235,186,-,-
Enterprise Value,276,185,34,0
PE Ratio,3.14,-0.64,-,-
PS Ratio,-,4.53,-,-
PB Ratio,1.26,0.61,-,-
P/FCF Ratio,-,-0.98,-,-
P/OCF Ratio,-,12.41,-,-
EV/Sales Ratio,-,4.50,5.28,0.00
EV/EBITDA Ratio,-,31.67,22.15,0.00
EV/EBIT Ratio,-,31.67,22.15,0.00
EV/FCF Ratio,-,-0.97,-0.56,0.00
Debt / Equity Ratio,0.41,0.25,-1.69,0.22
Debt / EBITDA Ratio,-,12.90,41.41,-0.96
Debt / FCF Ratio,-,-0.40,-1.06,-0.39
Current Ratio,0.53,1.88,0.24,0.93
Asset Turnover,-,0.17,0.12,-
Return on Equity (ROE),-,-216.40%,297.20%,-
Return on Assets (ROA),-,-119.10%,-82.70%,-
Return on Capital (ROIC),-,3.40%,24.60%,-
Earnings Yield,-156.92%,-,-,
FCF Yield,-101.92%,-,-,
Buyback Yield / Dilution,4.37%,-,-,-
Total Shareholder Return,4.37%,-,-,-
