Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1997
Market Capitalization,"6,743","9,288","11,165","7,179","7,092","6,310","8,793","7,328","5,981","5,557","4,818",Upgrade
Market Cap Growth,-,-16.81%,55.53%,1.22%,12.39%,-28.23%,19.99%,22.53%,7.62%,15.34%,59.77%,Upgrade
Enterprise Value,"5,564","5,932","7,023","3,279","4,670","3,518","6,765","6,044","5,545","5,855","5,459",Upgrade
PE Ratio,5.59,8.23,12.79,12.64,10.52,8.97,17.39,16.98,15.55,16.07,16.62,Upgrade
PS Ratio,2.78,4.09,6.03,5.12,4.46,4.10,6.30,6.17,5.34,5.67,5.73,Upgrade
PB Ratio,1.07,1.55,1.91,1.36,1.41,1.43,2.29,2.14,1.92,1.95,2.04,Upgrade
P/FCF Ratio,3.37,4.50,9.56,10.36,9.67,7.13,10.68,11.13,12.72,14.14,14.26,Upgrade
P/OCF Ratio,3.37,4.50,9.56,10.36,9.67,7.14,12.50,11.27,12.73,14.14,11.31,Upgrade
EV/Sales Ratio,2.30,2.61,3.79,2.34,2.93,2.29,4.84,5.09,4.95,5.97,6.49,Upgrade
EV/EBITDA Ratio,3.27,3.77,5.79,4.07,4.73,3.67,7.64,8.52,8.31,10.37,10.36,Upgrade
EV/EBIT Ratio,3.62,4.20,6.65,4.78,5.53,4.30,9.20,10.56,9.58,13.10,12.21,Upgrade
EV/FCF Ratio,2.78,2.87,6.01,4.73,6.37,3.98,8.22,9.18,11.79,14.90,16.16,Upgrade
Debt / Equity Ratio,0.76,0.04,0.09,0.18,0.21,0.13,0.14,0.27,0.39,0.47,0.65,Upgrade
Debt / EBITDA Ratio,2.80,0.17,0.42,1.15,1.05,0.61,0.62,1.29,1.84,2.37,2.92,Upgrade
Debt / FCF Ratio,2.38,0.13,0.43,1.34,1.41,0.66,0.66,1.39,2.61,3.41,4.55,Upgrade
Asset Turnover,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),20.60%,19.70%,15.60%,11.20%,14.00%,16.80%,13.60%,13.00%,12.70%,12.60%,12.50%,Upgrade
Return on Assets (ROA),1.90%,1.80%,1.50%,1.10%,1.60%,1.80%,1.40%,1.30%,1.20%,1.20%,1.20%,Upgrade
Return on Capital (ROIC),2.50%,2.40%,2.00%,1.50%,2.10%,2.30%,2.20%,1.80%,2.00%,1.60%,1.90%,Upgrade
Earnings Yield,17.99%,12.15%,7.82%,7.91%,9.50%,11.15%,5.75%,5.89%,6.43%,6.22%,6.02%,Upgrade
FCF Yield,29.70%,22.24%,10.46%,9.65%,10.34%,14.02%,9.36%,8.98%,7.86%,7.07%,7.01%,Upgrade
Dividend Yield,3.69%,2.45%,1.69%,2.19%,2.17%,1.99%,1.33%,1.58%,1.93%,1.86%,1.74%,Upgrade
Payout Ratio,19.50%,20.10%,21.40%,27.60%,22.80%,17.70%,22.90%,26.70%,30.00%,29.80%,28.60%,Upgrade
Buyback Yield / Dilution,0.91%,0.45%,-0.10%,2.18%,-0.01%,-0.18%,-0.51%,-0.46%,-0.66%,-2.86%,5.16%,Upgrade
Total Shareholder Return,4.60%,2.91%,1.59%,4.37%,2.17%,1.82%,0.82%,1.13%,1.27%,-1.00%,6.90%,Upgrade
