Year,Current,2022
Market Capitalization,303,295
Enterprise Value,302,295
PE Ratio,30.09,21.31
PB Ratio,-59.63,-44.93
P/FCF Ratio,-208.93,-254.50
P/OCF Ratio,-208.93,-254.50
EV/EBITDA Ratio,29.72,21.31
EV/EBIT Ratio,29.72,21.31
EV/FCF Ratio,-208.55,-254.56
Debt / Equity Ratio,-0.07,-0.02
Debt / EBITDA Ratio,0.03,0.01
Debt / FCF Ratio,-0.24,-0.09
Current Ratio,0.62,0.48
Return on Equity (ROE),-114.50%,-121.20%
Return on Assets (ROA),4.30%,5.80%
Return on Capital (ROIC),4.30%,5.90%
Earnings Yield,3.36%,4.69%
FCF Yield,-0.47%,-0.39%
