Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"4,262","4,806","4,663","4,356","5,384","4,943","4,591","3,872","3,518","3,140","2,619",Upgrade
Market Cap Growth,-,3.05%,7.06%,-19.10%,8.91%,7.68%,18.57%,10.07%,12.02%,19.91%,51.66%,Upgrade
Enterprise Value,"4,874","5,283","5,214","5,016","5,821","4,700","5,080","4,376","3,982","3,670","3,037",Upgrade
PE Ratio,-5719.04,41.43,11.14,12.14,12.66,12.64,24.66,24.96,10.61,11.14,10.43,Upgrade
PS Ratio,0.77,0.88,0.89,0.90,1.10,1.10,1.08,0.96,0.70,0.62,0.55,Upgrade
PB Ratio,1.79,2.06,1.48,1.36,1.85,1.67,1.53,1.36,1.24,1.10,1.01,Upgrade
P/FCF Ratio,8.16,6.82,5.72,6.29,9.13,9.18,6.69,5.32,8.27,5.67,7.25,Upgrade
P/OCF Ratio,7.91,6.65,5.66,6.16,8.93,8.97,6.52,5.21,7.91,5.56,6.82,Upgrade
EV/Sales Ratio,0.87,0.97,1.00,1.04,1.19,1.05,1.19,1.08,0.79,0.72,0.63,Upgrade
EV/EBITDA Ratio,115.78,27.78,9.13,10.10,10.08,9.32,15.02,18.53,7.50,7.69,6.99,Upgrade
EV/EBIT Ratio,160.87,29.80,9.41,10.48,10.48,9.80,16.48,21.29,7.95,8.28,7.60,Upgrade
EV/FCF Ratio,9.30,7.50,6.39,7.24,9.87,8.73,7.40,6.01,9.37,6.63,8.41,Upgrade
Debt / Equity Ratio,0.33,0.34,0.25,0.24,0.22,0.26,0.26,0.28,0.28,0.32,0.35,Upgrade
Debt / EBITDA Ratio,18.59,4.11,1.37,1.57,1.13,1.54,2.33,3.33,1.51,1.89,2.08,Upgrade
Debt / FCF Ratio,1.49,1.11,0.96,1.13,1.11,1.45,1.15,1.08,1.89,1.63,2.50,Upgrade
Asset Turnover,0.40,0.40,0.38,0.37,0.40,0.31,0.28,0.29,0.36,0.37,0.36,Upgrade
Return on Equity (ROE),0.00%,4.60%,13.50%,11.80%,14.30%,13.30%,6.30%,5.20%,11.50%,10.20%,9.80%,Upgrade
Return on Assets (ROA),0.00%,0.80%,3.00%,2.80%,3.50%,2.70%,1.20%,1.10%,2.40%,2.00%,1.90%,Upgrade
Return on Capital (ROIC),0.20%,1.30%,3.90%,3.60%,4.40%,3.20%,2.00%,1.40%,3.50%,3.20%,3.00%,Upgrade
Earnings Yield,-0.02%,2.41%,8.98%,8.24%,7.90%,7.91%,4.06%,4.01%,9.42%,8.98%,9.58%,Upgrade
FCF Yield,12.26%,14.66%,17.49%,15.90%,10.95%,10.89%,14.94%,18.79%,12.09%,17.63%,13.78%,Upgrade
Dividend Yield,2.61%,2.27%,2.19%,2.29%,7.21%,1.93%,1.91%,2.10%,2.15%,2.17%,2.33%,Upgrade
Payout Ratio,-15600.00%,93.90%,24.40%,27.80%,91.30%,24.10%,46.60%,51.80%,22.40%,23.70%,23.90%,Upgrade
Buyback Yield / Dilution,-0.28%,0.84%,4.77%,5.75%,5.66%,0.24%,0.46%,3.57%,0.22%,0.23%,0.88%,Upgrade
Total Shareholder Return,2.33%,3.10%,6.97%,8.04%,12.87%,2.17%,2.37%,5.67%,2.38%,2.40%,3.21%,Upgrade
