Year,Current,2022,2021
Market Capitalization,455,444,315
Market Cap Growth,-,40.94%,-
Enterprise Value,455,444,313
PE Ratio,16.76,16.47,345.94
PB Ratio,-32.09,-32.09,-8.80
P/FCF Ratio,-206.22,-206.22,2827.27
P/OCF Ratio,-206.22,-206.22,2827.27
EV/EBITDA Ratio,16.87,16.45,343.05
EV/EBIT Ratio,16.87,16.45,343.05
EV/FCF Ratio,-206.00,-206.00,2803.65
Current Ratio,0.83,0.83,1.98
Return on Equity (ROE),-173.50%,-173.50%,-
Return on Assets (ROA),7.60%,7.60%,-
Return on Capital (ROIC),7.60%,7.60%,-
Earnings Yield,5.92%,6.07%,0.29%
FCF Yield,-0.47%,-0.48%,0.04%
Buyback Yield / Dilution,-325.37%,-325.37%,-
Total Shareholder Return,-325.37%,-325.37%,-
