Year,Current,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011 - 1995
Market Capitalization,45,50,42,40,49,69,84,103,83,87,65,Upgrade
Market Cap Growth,-,18.72%,4.24%,-17.08%,-29.99%,-16.97%,-18.36%,23.37%,-4.16%,32.92%,47.83%,Upgrade
Enterprise Value,58,59,56,61,70,79,104,121,100,95,88,Upgrade
PE Ratio,17.08,12.86,3.57,-51.39,-44.11,16.83,37.42,25.70,20.98,8.23,16.61,Upgrade
PS Ratio,0.24,0.25,0.22,0.20,0.26,0.38,0.50,0.62,0.50,0.52,0.47,Upgrade
PB Ratio,0.46,0.35,0.29,0.34,0.48,0.62,0.79,1.00,0.80,0.86,0.62,Upgrade
P/FCF Ratio,5.47,50.89,4.81,-21.51,11.64,5.76,90.98,54.34,254.93,7.42,10.97,Upgrade
P/OCF Ratio,5.39,45.89,4.69,-22.33,10.91,5.71,63.60,46.42,18.66,6.66,10.67,Upgrade
EV/Sales Ratio,0.30,0.30,0.29,0.31,0.38,0.43,0.63,0.73,0.60,0.57,0.63,Upgrade
EV/EBITDA Ratio,8.68,7.66,3.12,22.50,33.98,9.24,16.56,14.62,13.50,6.92,10.70,Upgrade
EV/EBIT Ratio,10.09,8.81,3.30,35.51,65.44,11.12,20.49,16.90,15.43,7.24,11.35,Upgrade
EV/FCF Ratio,7.03,60.05,6.46,-32.62,16.69,6.52,113.25,63.94,308.19,8.12,14.72,Upgrade
Debt / Equity Ratio,0.35,0.24,0.23,0.28,0.33,0.30,0.32,0.33,0.32,0.41,0.39,Upgrade
Debt / EBITDA Ratio,5.19,4.39,1.86,12.41,16.43,3.96,5.36,4.09,4.53,3.01,5.04,Upgrade
Debt / FCF Ratio,4.20,34.39,3.86,-17.98,8.07,2.80,36.67,17.88,103.49,3.53,6.94,Upgrade
Asset Turnover,0.51,0.50,0.51,0.53,0.55,0.55,0.53,0.52,0.52,0.52,0.45,Upgrade
Return on Equity (ROE),2.30%,2.80%,9.40%,-0.70%,-1.10%,3.80%,2.10%,3.80%,3.80%,10.50%,3.80%,Upgrade
Return on Assets (ROA),0.70%,1.00%,3.10%,-0.20%,-0.30%,1.20%,0.70%,1.30%,1.20%,3.30%,1.30%,Upgrade
Return on Capital (ROIC),1.50%,1.60%,4.30%,0.40%,0.30%,2.00%,1.50%,2.20%,2.00%,4.10%,2.30%,Upgrade
Earnings Yield,6.07%,7.78%,27.99%,-1.95%,-2.27%,5.94%,2.67%,3.89%,4.77%,12.16%,6.02%,Upgrade
FCF Yield,18.28%,1.96%,20.78%,-4.65%,8.59%,17.36%,1.10%,1.84%,0.39%,13.47%,9.11%,Upgrade
Dividend Yield,0.70%,0.82%,-,1.02%,0.83%,0.59%,0.49%,0.40%,0.99%,0.49%,2.27%,Upgrade
Payout Ratio,15.40%,10.50%,0.00%,-50.00%,-40.00%,10.00%,18.20%,10.50%,21.10%,4.00%,36.80%,Upgrade
Buyback Yield / Dilution,0.06%,0.17%,0.32%,-1.39%,1.17%,-0.12%,0.64%,0.36%,2.73%,-0.42%,5.75%,Upgrade
Total Shareholder Return,0.06%,0.99%,0.32%,-0.37%,2.01%,0.47%,1.13%,0.76%,3.72%,0.07%,8.02%,Upgrade
