Year,Current,2022,2021,2020,2019,2018,2017,2016,2015
Market Capitalization,412,590,546,402,703,530,620,558,-
Market Cap Growth,-,8.03%,35.91%,-42.87%,32.73%,-14.63%,11.22%,-,-
Enterprise Value,937,"1,081",441,"1,139","1,124","1,223","1,199",828,34
PE Ratio,4.48,6.15,6.71,17.82,12.61,13.48,38.84,17.68,-
PS Ratio,1.33,1.93,1.99,1.86,2.83,2.18,3.46,3.25,-
PB Ratio,0.53,0.78,0.82,0.65,1.06,0.87,1.38,1.73,-
P/FCF Ratio,1.98,2.53,1.64,0.81,1.32,5.89,9.05,25.40,-
P/OCF Ratio,1.93,2.49,1.63,0.80,1.30,5.45,8.81,23.12,-
EV/Sales Ratio,3.02,3.54,1.61,5.27,4.53,5.04,6.68,4.82,0.22
EV/EBITDA Ratio,6.55,7.62,3.93,23.72,12.62,19.13,34.44,12.98,0.71
EV/EBIT Ratio,7.15,8.33,4.45,35.57,15.51,24.07,45.29,16.42,0.96
EV/FCF Ratio,4.50,4.63,1.33,2.29,2.11,13.60,17.49,37.71,0.51
Debt / Equity Ratio,0.85,0.86,0.87,1.74,1.23,1.49,1.77,1.43,1.06
Debt / EBITDA Ratio,4.64,4.59,5.13,22.47,9.16,14.18,22.81,7.23,5.14
Debt / FCF Ratio,3.19,2.79,1.73,2.17,1.53,10.09,11.58,20.99,3.67
Asset Turnover,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.06,-
Return on Equity (ROE),13.00%,13.80%,12.50%,3.60%,8.60%,6.60%,3.80%,10.50%,-
Return on Assets (ROA),1.20%,1.30%,1.20%,0.30%,1.00%,0.70%,0.40%,1.00%,-
Return on Capital (ROIC),1.60%,1.70%,1.40%,0.50%,1.20%,0.80%,0.60%,1.60%,-
Earnings Yield,22.97%,16.26%,14.90%,5.61%,7.93%,7.42%,2.57%,5.66%,-
FCF Yield,50.48%,39.60%,60.90%,123.65%,75.85%,16.97%,11.05%,3.94%,-
Dividend Yield,6.31%,4.41%,4.63%,6.22%,3.38%,3.91%,2.36%,0.93%,-
Payout Ratio,28.00%,27.40%,31.30%,112.60%,42.50%,52.10%,89.90%,16.20%,0.00%
Buyback Yield / Dilution,-0.68%,0.67%,3.42%,4.68%,-4.01%,-28.80%,-26.71%,-19.12%,-101.02%
Total Shareholder Return,5.63%,5.08%,8.05%,10.90%,-0.63%,-24.89%,-24.36%,-18.19%,-101.02%
