Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1998
Market Capitalization,109,184,156,133,194,147,184,136,107,101,80,Upgrade
Market Cap Growth,-,17.52%,17.24%,-31.40%,32.44%,-20.30%,35.47%,27.33%,5.56%,26.95%,56.28%,Upgrade
Enterprise Value,92,180,-64,17,185,182,185,143,159,151,134,Upgrade
PE Ratio,6.79,11.39,10.32,11.73,13.81,10.96,17.92,14.80,11.07,10.76,13.19,Upgrade
PS Ratio,1.51,2.40,2.23,2.12,3.10,2.50,3.32,2.52,2.20,2.15,1.92,Upgrade
PB Ratio,1.00,1.75,1.10,0.95,1.45,1.19,1.59,1.26,1.02,1.02,0.95,Upgrade
P/FCF Ratio,6.20,10.15,5.80,19.97,18.48,8.70,14.11,12.78,9.27,-84.00,3.54,Upgrade
P/OCF Ratio,4.89,8.10,5.81,14.54,14.72,8.53,9.90,11.10,7.69,52.71,3.19,Upgrade
EV/Sales Ratio,1.21,2.36,-0.91,0.27,2.95,3.11,3.34,2.65,3.28,3.21,3.23,Upgrade
EV/EBITDA Ratio,3.63,6.85,-2.61,0.93,8.76,8.84,9.62,8.32,8.46,8.29,7.86,Upgrade
EV/EBIT Ratio,4.60,8.88,-3.38,1.21,10.77,11.37,13.02,12.16,12.48,13.33,15.62,Upgrade
EV/FCF Ratio,4.96,9.97,-2.38,2.52,17.63,10.80,14.20,13.43,13.81,-125.52,5.95,Upgrade
Debt / Equity Ratio,0.52,0.65,0.40,0.32,0.32,0.64,0.50,0.72,0.88,1.21,1.56,Upgrade
Debt / EBITDA Ratio,2.37,2.60,2.34,2.50,2.05,3.83,3.04,4.49,4.90,6.54,7.70,Upgrade
Debt / FCF Ratio,3.23,3.78,2.13,6.77,4.14,4.67,4.48,7.25,7.99,-98.96,5.83,Upgrade
Asset Turnover,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,Upgrade
Return on Equity (ROE),14.50%,14.40%,10.60%,8.30%,10.80%,11.20%,9.00%,8.40%,9.40%,10.00%,6.50%,Upgrade
Return on Assets (ROA),1.00%,1.00%,0.90%,0.80%,1.20%,1.20%,0.90%,0.80%,0.90%,0.90%,0.60%,Upgrade
Return on Capital (ROIC),1.30%,1.30%,1.40%,1.00%,1.50%,1.40%,1.30%,1.10%,1.20%,1.00%,0.80%,Upgrade
Earnings Yield,13.77%,8.78%,9.69%,8.52%,7.24%,9.13%,5.58%,6.76%,9.03%,9.29%,7.58%,Upgrade
FCF Yield,16.13%,9.86%,17.24%,5.01%,5.41%,11.49%,7.09%,7.83%,10.79%,-1.19%,28.25%,Upgrade
Dividend Yield,4.56%,2.67%,2.39%,3.26%,2.01%,2.13%,1.46%,1.51%,1.45%,1.00%,0.85%,Upgrade
Payout Ratio,30.40%,29.60%,24.40%,37.30%,27.20%,23.30%,26.10%,22.50%,16.20%,10.80%,11.10%,Upgrade
Buyback Yield / Dilution,0.46%,0.42%,2.18%,2.11%,1.38%,0.00%,-0.60%,1.78%,1.80%,-0.06%,-0.30%,Upgrade
Total Shareholder Return,5.09%,3.09%,4.57%,5.37%,3.39%,2.13%,0.85%,3.29%,3.26%,0.94%,0.55%,Upgrade
