Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2007
Market Capitalization,"5,977","5,419","8,587","5,764","6,551","4,990","6,210","4,023","3,904","3,636","2,981",Upgrade
Market Cap Growth,-,-36.89%,48.97%,-12.02%,31.29%,-19.65%,54.38%,3.04%,7.36%,21.99%,16.00%,Upgrade
Enterprise Value,"6,158","6,477","9,819","6,312","6,395","4,331","5,556","3,753","3,458","3,034","2,456",Upgrade
PE Ratio,28.07,20.61,6.92,8.28,9.27,10.52,14.68,11.73,13.55,15.57,15.99,Upgrade
PS Ratio,0.85,0.71,0.93,0.81,1.06,0.87,1.08,0.72,0.75,0.78,0.60,Upgrade
PB Ratio,1.26,1.16,1.49,1.17,1.48,1.33,1.79,1.34,1.42,1.41,1.22,Upgrade
P/FCF Ratio,15.96,10.28,7.97,5.85,8.12,7.36,12.23,10.98,8.78,13.20,10.03,Upgrade
P/OCF Ratio,9.23,6.95,7.04,5.31,7.18,6.29,9.82,8.22,7.08,10.08,7.88,Upgrade
EV/Sales Ratio,0.88,0.85,1.06,0.89,1.03,0.75,0.96,0.67,0.67,0.65,0.50,Upgrade
EV/EBITDA Ratio,11.68,11.09,5.27,5.61,5.93,5.59,9.10,6.17,6.32,6.67,6.14,Upgrade
EV/EBIT Ratio,17.32,15.53,5.76,6.47,6.73,6.67,11.51,7.37,7.50,8.22,7.55,Upgrade
EV/FCF Ratio,16.43,12.29,9.12,6.41,7.92,6.39,10.94,10.24,7.77,11.01,8.27,Upgrade
Debt / Equity Ratio,0.45,0.49,0.43,0.37,0.30,0.22,0.21,0.24,0.21,0.23,0.13,Upgrade
Debt / EBITDA Ratio,4.10,3.91,1.32,1.62,1.23,1.04,1.20,1.21,1.06,1.29,0.78,Upgrade
Debt / FCF Ratio,5.77,4.33,2.28,1.85,1.65,1.19,1.44,2.01,1.31,2.13,1.04,Upgrade
Asset Turnover,0.45,0.47,0.59,0.57,0.54,0.55,0.62,0.63,0.64,0.65,0.78,Upgrade
Return on Equity (ROE),4.50%,5.40%,23.00%,15.00%,17.00%,13.10%,13.00%,11.60%,10.80%,9.20%,7.80%,Upgrade
Return on Assets (ROA),1.30%,1.60%,7.90%,5.60%,6.20%,4.60%,4.60%,3.90%,3.50%,3.30%,2.90%,Upgrade
Return on Capital (ROIC),2.50%,2.80%,11.80%,8.70%,9.50%,7.70%,6.30%,7.00%,6.90%,6.60%,6.50%,Upgrade
Earnings Yield,3.53%,4.85%,14.45%,12.07%,10.79%,9.51%,6.81%,8.53%,7.38%,6.42%,6.25%,Upgrade
FCF Yield,6.27%,9.72%,12.54%,17.09%,12.32%,13.58%,8.18%,9.11%,11.39%,7.58%,9.97%,Upgrade
Dividend Yield,3.71%,4.08%,2.52%,3.49%,2.92%,3.63%,2.61%,3.32%,2.81%,2.51%,1.76%,Upgrade
Payout Ratio,104.00%,83.70%,17.40%,28.80%,26.80%,38.00%,38.00%,38.70%,37.70%,38.50%,27.60%,Upgrade
Buyback Yield / Dilution,5.42%,3.68%,1.42%,0.62%,-0.37%,-0.75%,-1.15%,-1.21%,-1.05%,0.38%,-0.52%,Upgrade
Total Shareholder Return,9.12%,7.76%,3.93%,4.11%,2.54%,2.88%,1.46%,2.10%,1.77%,2.89%,1.24%,Upgrade
