Year,Current,2021,2020
Market Capitalization,130,-,-
Enterprise Value,129,0,0
PB Ratio,-58.94,-,-
EV/EBITDA Ratio,-,-24.95,-0.79
EV/EBIT Ratio,-,-24.95,-0.79
EV/FCF Ratio,-,2.65,-
Debt / Equity Ratio,-,1.92,0.03
Debt / EBITDA Ratio,-,-24.95,-0.79
Debt / FCF Ratio,-,2.65,-
Current Ratio,2.05,0.85,-
Return on Equity (ROE),-,-7.40%,-
Return on Assets (ROA),-,-3.20%,-
Return on Capital (ROIC),-,-3.80%,-
Earnings Yield,-0.16%,-,-
Buyback Yield / Dilution,-35.22%,-,-
Total Shareholder Return,-35.22%,-,-
