Year,Current,2022,2021,2020,2019,2018,2017,2016
Market Capitalization,156,162,167,107,257,645,-,-
Market Cap Growth,-,-2.91%,56.05%,-58.34%,-60.22%,-,-,-
Enterprise Value,421,425,343,432,469,489,-3,32
PE Ratio,1.55,1.39,1.29,-0.53,2.32,5.05,-,-
PS Ratio,0.31,0.32,0.29,0.32,0.58,1.26,-,-
PB Ratio,0.23,0.24,0.27,0.23,0.41,1.27,-,-
P/FCF Ratio,3.49,3.56,2.39,-1.02,3.07,-133.93,-,-
P/OCF Ratio,3.42,3.50,2.38,-1.03,2.99,832.38,-,-
EV/Sales Ratio,0.82,0.83,0.60,1.29,1.06,0.95,-0.01,0.97
EV/EBITDA Ratio,2.42,2.44,1.79,-1.79,4.61,3.05,-0.03,-1.56
EV/EBIT Ratio,2.44,2.46,1.81,-1.78,4.68,3.08,-0.04,-1.53
EV/FCF Ratio,9.27,9.35,4.91,-4.13,5.60,-101.49,0.03,2.82
Debt / Equity Ratio,0.60,0.60,0.53,1.21,0.69,0.06,0.38,1.95
Debt / EBITDA Ratio,2.34,2.34,1.73,-2.37,4.22,0.18,1.38,-5.08
Debt / FCF Ratio,8.97,8.97,4.74,-5.44,5.13,-5.95,-1.05,9.20
Asset Turnover,0.42,0.42,0.51,0.28,0.44,0.83,0.64,-
Return on Equity (ROE),18.30%,18.30%,22.60%,-35.00%,19.10%,33.50%,31.90%,-
Return on Assets (ROA),9.50%,9.50%,11.50%,-16.50%,10.90%,20.70%,12.20%,-
Return on Capital (ROIC),11.90%,11.90%,14.90%,-16.10%,9.40%,29.70%,16.60%,-
Earnings Yield,73.54%,71.94%,77.32%,-187.18%,43.11%,19.82%,-,-
FCF Yield,28.68%,28.05%,41.85%,-97.92%,32.60%,-0.75%,-,-
Dividend Yield,-,-,-,37.39%,-,-,-,
Payout Ratio,0.00%,0.00%,0.00%,0.00%,14.20%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,4.30%,4.30%,-4.87%,-0.47%,-5.19%,-8.68%,-17.48%,-
Total Shareholder Return,4.30%,4.30%,-4.87%,-0.47%,32.20%,-8.68%,-17.48%,-
