Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,"9,853","11,689","11,646","7,609","9,888","8,080","9,564","7,653","6,296","5,336","5,158",Upgrade
Market Cap Growth,-,0.37%,53.05%,-23.04%,22.37%,-15.51%,24.97%,21.55%,18.00%,3.44%,44.65%,Upgrade
Enterprise Value,"10,487","12,313","11,479","7,907","9,047","7,867","8,527","6,829","6,074","5,054","4,432",Upgrade
PE Ratio,12.04,13.02,5.84,10.40,11.02,15.25,20.13,11.79,17.89,11.80,10.95,Upgrade
PS Ratio,1.37,1.66,1.78,1.32,1.59,1.13,1.39,1.18,1.02,0.93,1.01,Upgrade
PB Ratio,2.50,2.89,2.32,1.12,1.58,1.63,1.79,1.56,1.37,1.09,1.12,Upgrade
P/FCF Ratio,9.78,10.65,6.86,3.58,4.09,4.03,5.47,6.62,4.60,4.45,6.95,Upgrade
P/OCF Ratio,9.37,10.14,6.79,3.49,4.03,3.88,5.30,6.65,4.65,4.33,6.79,Upgrade
EV/Sales Ratio,1.46,1.75,1.75,1.37,1.46,1.10,1.24,1.05,0.99,0.88,0.87,Upgrade
EV/EBITDA Ratio,8.73,9.41,4.54,6.91,6.62,8.51,9.33,6.98,8.03,5.68,4.82,Upgrade
EV/EBIT Ratio,9.47,10.19,4.90,9.36,8.17,11.02,10.57,8.08,9.77,6.77,5.70,Upgrade
EV/FCF Ratio,10.39,11.21,6.76,3.72,3.74,3.92,4.87,5.91,4.44,4.22,5.97,Upgrade
Debt / Equity Ratio,0.38,0.37,0.39,0.29,0.23,0.26,0.24,0.26,0.22,0.22,0.20,Upgrade
Debt / EBITDA Ratio,1.23,1.14,0.78,1.72,1.08,1.41,1.42,1.31,1.32,1.19,0.99,Upgrade
Debt / FCF Ratio,1.46,1.36,1.16,0.92,0.61,0.65,0.74,1.11,0.73,0.89,1.23,Upgrade
Asset Turnover,0.25,0.24,0.16,0.08,0.09,0.11,0.12,0.12,0.12,0.13,0.13,Upgrade
Return on Equity (ROE),20.50%,21.30%,35.40%,12.00%,14.70%,10.40%,9.00%,13.10%,7.40%,9.20%,10.30%,Upgrade
Return on Assets (ROA),2.90%,3.10%,4.90%,1.00%,1.30%,0.80%,0.80%,1.20%,0.70%,1.00%,1.20%,Upgrade
Return on Capital (ROIC),3.80%,4.10%,5.90%,1.20%,1.70%,1.20%,1.40%,1.60%,1.30%,1.70%,2.00%,Upgrade
Earnings Yield,8.31%,7.68%,17.13%,9.62%,9.07%,6.56%,4.97%,8.48%,5.59%,8.47%,9.13%,Upgrade
FCF Yield,10.23%,9.39%,14.58%,27.97%,24.43%,24.83%,18.30%,15.11%,21.73%,22.45%,14.38%,Upgrade
Dividend Yield,14.21%,10.44%,20.62%,4.51%,4.56%,4.99%,4.49%,2.49%,2.88%,3.26%,3.19%,Upgrade
Payout Ratio,169.90%,135.60%,119.70%,46.70%,49.60%,74.80%,88.60%,28.80%,50.50%,37.70%,34.30%,Upgrade
Buyback Yield / Dilution,-0.23%,0.35%,4.04%,1.98%,-0.44%,-0.89%,-1.47%,1.01%,1.76%,0.22%,4.90%,Upgrade
Total Shareholder Return,13.97%,10.79%,24.66%,6.49%,4.11%,4.10%,3.03%,3.50%,4.64%,3.48%,8.09%,Upgrade
