Year,Current,2022,2021,2020,2019,2018,2017,2014
Market Capitalization,645,338,468,372,418,343,337,-
Market Cap Growth,-,-27.71%,25.69%,-10.99%,21.83%,1.96%,-,-
Enterprise Value,740,432,595,460,485,437,411,-64
PE Ratio,0,-3.32,3.55,6.12,-48.13,-6.26,10.82,0
PS Ratio,29.53,-3.65,3.32,5.81,-77.87,-6.92,9.60,0
PB Ratio,1.29,0.68,0.89,1.03,1.38,1.20,1.07,0
P/FCF Ratio,0,-4.51,-4.08,304.88,15.53,-7.50,-11.60,0
P/OCF Ratio,0,-4.51,-4.08,304.88,15.53,-7.50,-11.60,0
EV/Sales Ratio,33.82,-4.66,4.22,7.19,-90.32,-8.81,11.72,0
EV/EBITDA Ratio,14.16,-4.93,4.06,6.45,101.80,-10.91,9.34,0
EV/FCF Ratio,0,-5.76,-5.19,376.97,18.01,-9.54,-14.17,0
Debt / Equity Ratio,0.52,0.52,0.46,0.42,0,0.66,0.63,0.14
Debt / EBITDA Ratio,2.88,-1.72,0.96,1.30,20.93,-2.37,2.01,-
Debt / FCF Ratio,-,-2.01,-1.23,75.99,3.70,-2.07,-3.05,-
Current Ratio,3.38,3.38,1.99,4.49,0,0,2.00,2.28
Asset Turnover,0,-0.12,0.18,0.12,-0.01,-0.10,0.07,-
Return on Equity (ROE),-,-20.39%,25.06%,16.84%,-2.87%,-19.10%,9.87%,-
Return on Assets (ROA),-,-13.39%,17.17%,11.88%,-1.83%,-11.51%,6.07%,-
Return on Capital (ROIC),-,-14.16%,20.28%,14.37%,1.17%,-8.46%,9.40%,-
Earnings Yield,-9.52%,-30.10%,28.17%,16.35%,-2.08%,-15.97%,9.24%,-
FCF Yield,-22.16%,-24.51%,0.33%,6.44%,-13.34%,-8.62%,0.00%,
Dividend Yield,22.27%,30.57%,8.38%,10.82%,14.71%,15.25%,17.01%,-
Payout Ratio,0.00%,-101.59%,29.74%,66.16%,-707.72%,-95.44%,184.03%,0.00%
Buyback Yield / Dilution,-,9.41%,-28.88%,-18.50%,-36.60%,-,-,
Total Shareholder Return,22.25%,30.57%,17.79%,-18.06%,-3.79%,-21.36%,17.01%,-
