Year,Current,2022,2021,2020
Market Capitalization,108,253,249,-
Market Cap Growth,-,1.62%,-,-
Enterprise Value,109,253,249,0
PE Ratio,23.45,22.89,-43.63,-
PB Ratio,-50.46,-50.46,-17.92,-
P/FCF Ratio,-233.17,-233.17,-232.06,-
P/OCF Ratio,-233.17,-233.17,-232.06,-
EV/EBITDA Ratio,9.40,21.89,-43.62,-19.97
EV/EBIT Ratio,9.40,21.89,-43.62,-19.97
EV/FCF Ratio,-233.79,-233.79,-232.00,-4.28
Debt / Equity Ratio,-0.16,-0.16,-,6.64
Debt / EBITDA Ratio,0.07,0.07,-,-24.00
Debt / FCF Ratio,-0.74,-0.74,-,-5.14
Current Ratio,0.03,0.03,0.06,0.24
Return on Equity (ROE),-170.10%,-170.10%,273.90%,-
Return on Assets (ROA),5.50%,5.50%,-2.80%,-
Return on Capital (ROIC),5.90%,5.90%,-2.90%,-
Earnings Yield,10.20%,4.37%,-2.29%,-
FCF Yield,-1.00%,-0.43%,-0.43%,-
Buyback Yield / Dilution,-10.06%,-10.06%,-422.45%,-
Total Shareholder Return,-10.06%,-10.06%,-422.45%,-
