Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,"1,298","1,140","1,646","2,267","1,185",-,-
Market Cap Growth,-,-30.78%,-27.39%,91.33%,-,-,-
Enterprise Value,"1,289","1,108","1,596","2,233","1,152",9,6
PE Ratio,23.12,21.84,35.91,362.33,111.57,-,-
PS Ratio,3.84,3.48,6.64,13.46,10.46,-,-
PB Ratio,3.21,2.96,4.18,6.23,5.42,-,-
P/FCF Ratio,9.86,6.96,19.84,42.44,28.49,-,-
P/OCF Ratio,9.32,6.72,18.75,39.43,26.62,-,-
EV/Sales Ratio,3.81,3.39,6.44,13.26,10.16,0.13,0.10
EV/EBITDA Ratio,16.74,15.27,26.28,295.45,59.48,0.44,0.90
EV/EBIT Ratio,17.68,16.19,27.91,358.88,60.15,0.45,0.92
EV/FCF Ratio,9.79,6.77,19.24,41.81,27.69,0.41,0.31
Debt / Equity Ratio,0.18,0.09,-,-,-,0.20,0.22
Debt / EBITDA Ratio,0.93,0.50,-,-,-,0.92,2.50
Debt / FCF Ratio,0.54,0.22,-,-,-,0.85,0.85
Asset Turnover,0.27,0.29,0.29,0.27,0.33,0.35,-
Return on Equity (ROE),14.30%,13.80%,12.00%,1.80%,5.80%,20.90%,-
Return on Assets (ROA),4.40%,4.60%,5.30%,1.00%,3.10%,8.70%,-
Return on Capital (ROIC),5.90%,6.20%,7.00%,1.10%,5.90%,9.50%,-
Earnings Yield,4.23%,4.58%,2.79%,0.28%,0.90%,-,-
FCF Yield,10.14%,14.36%,5.04%,2.36%,3.51%,-,-
Buyback Yield / Dilution,1.76%,1.21%,-2.01%,-17.24%,-28.44%,-,-
Total Shareholder Return,1.76%,1.21%,-2.01%,-17.24%,-28.44%,-,-
