Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014
Market Capitalization,"1,333","1,125","1,562",566,359,478,657,749,-,-
Market Cap Growth,-,-28.00%,175.86%,57.71%,-24.94%,-27.16%,-12.33%,-,-,-
Enterprise Value,"1,579","1,305","1,689",794,696,794,"1,063","1,300",23,48
PE Ratio,15.51,10.97,10.71,-21.87,9.55,6.50,67.71,12.68,-,-
PS Ratio,1.62,1.35,1.57,0.63,0.41,0.50,0.65,0.76,-,-
PB Ratio,4.01,3.41,4.14,2.29,1.34,2.12,4.40,6.74,-,-
P/FCF Ratio,13.88,11.72,11.35,4.60,8.91,16.38,10.33,9.39,-,-
P/OCF Ratio,8.83,7.49,8.68,3.67,6.59,7.22,7.19,7.07,-,-
EV/Sales Ratio,1.92,1.56,1.70,0.89,0.80,0.82,1.06,1.32,0.02,0.04
EV/EBITDA Ratio,7.95,6.18,5.99,9.99,4.30,4.29,7.40,8.71,0.11,0.36
EV/EBIT Ratio,11.72,8.78,7.53,149.81,7.71,5.69,10.73,12.26,0.13,0.51
EV/FCF Ratio,16.45,13.59,12.27,6.45,17.27,27.19,16.72,16.29,0.24,0.50
Debt / Equity Ratio,0.83,0.65,0.48,1.22,1.32,1.60,3.07,5.28,0.06,0.22
Debt / EBITDA Ratio,1.39,1.01,0.64,3.79,2.19,1.96,3.19,3.93,0.18,0.57
Debt / FCF Ratio,2.87,2.23,1.32,2.45,8.78,12.42,7.21,7.36,0.41,0.80
Current Ratio,1.32,1.02,1.07,1.12,1.18,1.25,1.44,1.77,1.54,1.44
Asset Turnover,0.95,0.96,1.07,0.97,0.91,1.06,1.05,1.10,1.16,-
Return on Equity (ROE),27.50%,30.20%,43.80%,-9.70%,14.90%,36.80%,6.30%,16.10%,21.40%,-
Return on Assets (ROA),10.60%,11.80%,15.70%,-2.80%,3.90%,8.10%,1.00%,6.60%,11.50%,-
Return on Capital (ROIC),34.60%,38.10%,57.00%,1.00%,13.70%,23.50%,13.70%,22.10%,71.00%,-
Earnings Yield,6.90%,9.11%,9.34%,-4.57%,10.47%,15.38%,1.48%,7.89%,-,-
FCF Yield,7.20%,8.53%,8.81%,21.73%,11.22%,6.10%,9.68%,10.65%,-,-
Buyback Yield / Dilution,11.34%,8.24%,-3.83%,1.17%,-0.88%,-2.10%,-1.52%,-1.23%,-,-
Total Shareholder Return,11.34%,8.24%,-3.83%,1.17%,-0.88%,-2.10%,-1.52%,-1.23%,-,-
