Year,Current,2021
Market Capitalization,59,148
Enterprise Value,61,148
PE Ratio,-164.78,-208.97
PB Ratio,-20.48,-39.10
P/FCF Ratio,-226.40,-263.69
P/OCF Ratio,-226.40,-263.69
EV/EBITDA Ratio,-167.50,-208.43
EV/EBIT Ratio,-167.50,-208.43
EV/FCF Ratio,-230.13,-263.01
Debt / Equity Ratio,-0.34,-
Debt / EBITDA Ratio,-2.77,-
Debt / FCF Ratio,-3.81,-
Current Ratio,0.02,1.88
Return on Equity (ROE),18.10%,122.10%
Return on Assets (ROA),-0.80%,-0.80%
Return on Capital (ROIC),-0.80%,-0.80%
Earnings Yield,-1.58%,-0.48%
FCF Yield,-1.15%,-0.38%
