Year,Current,2022,2021,2020,2019
Market Capitalization,"5,539","2,811","4,727",-,-
Market Cap Growth,-,-40.54%,-,-,-
Enterprise Value,"5,184","2,435","4,259",-230,-195
PE Ratio,1181.76,87.63,-101.97,-,-
PS Ratio,6.63,3.57,7.64,-,-
PB Ratio,89.48,47.44,-14.60,-,-
P/FCF Ratio,345.92,256.64,-4340.74,-,-
P/OCF Ratio,95.75,50.80,111.80,-,-
EV/Sales Ratio,6.19,3.09,6.88,-0.46,-0.49
EV/EBITDA Ratio,95.78,29.76,-275.28,-8.28,-9.55
EV/EBIT Ratio,1872.97,65.70,-113.22,-14.40,-17.02
EV/FCF Ratio,322.69,222.34,-3910.55,-4.97,-4.79
Debt / Equity Ratio,2.70,3.19,-0.42,0.59,0.24
Debt / EBITDA Ratio,3.10,2.31,-8.76,2.48,1.28
Debt / FCF Ratio,10.45,17.26,-124.43,1.49,0.64
Current Ratio,1.33,1.40,1.81,1.33,1.31
Asset Turnover,0.66,0.65,0.75,0.95,-
Return on Equity (ROE),3.40%,42.10%,44.90%,8.90%,-
Return on Assets (ROA),0.20%,2.70%,-5.60%,1.90%,-
Return on Capital (ROIC),-23.80%,-116.80%,114.70%,-25.80%,-
Earnings Yield,0.04%,1.14%,-0.98%,-,-
FCF Yield,0.29%,0.39%,-0.02%,-,-
Buyback Yield / Dilution,75.22%,-308.31%,-82227.00%,-32.16%,-
Total Shareholder Return,75.22%,-308.31%,-82227.00%,-32.16%,-
