Year,Current,2022,2021
Market Capitalization,701,690,675
Market Cap Growth,-,2.20%,-
Enterprise Value,700,688,674
PE Ratio,24.26,23.62,-200.96
PB Ratio,-35.66,-35.66,-15.53
P/FCF Ratio,-771.07,-771.07,-275.40
P/OCF Ratio,-771.07,-771.07,-275.40
EV/EBITDA Ratio,22.71,22.33,-200.65
EV/EBIT Ratio,22.71,22.33,-200.65
EV/FCF Ratio,-769.49,-769.49,-274.97
Current Ratio,1.10,1.10,10.77
Return on Equity (ROE),-116.50%,-116.50%,16.50%
Return on Assets (ROA),5.30%,5.30%,-0.60%
Return on Capital (ROIC),5.60%,5.60%,-0.60%
Earnings Yield,4.16%,4.23%,-0.50%
FCF Yield,-0.13%,-0.13%,-0.36%
Buyback Yield / Dilution,-12.19%,-12.19%,-
Total Shareholder Return,-12.19%,-12.19%,-
