Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,277,280,402,350,380,352,379
Market Cap Growth,-,-30.19%,14.77%,-7.94%,8.05%,-7.17%,-
Enterprise Value,217,233,331,249,318,283,351
PE Ratio,-4.63,-5.28,47.71,8.66,14.40,11.32,23.69
PS Ratio,0.82,0.86,1.24,1.14,1.40,1.66,2.00
PB Ratio,1.10,1.11,1.16,1.00,1.23,1.29,1.50
P/FCF Ratio,-7.07,-9.08,14.10,6.93,15.59,18.13,22.17
P/OCF Ratio,-7.10,-9.22,13.77,6.86,14.81,16.78,20.56
EV/Sales Ratio,0.64,0.72,1.02,0.81,1.17,1.33,1.86
EV/EBITDA Ratio,-2.84,-3.47,26.35,4.30,8.84,6.58,15.32
EV/EBIT Ratio,-2.80,-3.41,29.05,4.80,9.43,7.25,15.69
EV/FCF Ratio,-5.49,-7.55,11.62,4.93,13.04,14.57,20.55
Asset Turnover,0.53,0.51,0.48,0.51,0.53,0.48,0.47
Return on Equity (ROE),-23.00%,-19.20%,2.40%,12.40%,8.90%,11.80%,6.60%
Return on Assets (ROA),-9.30%,-8.30%,1.30%,6.70%,5.10%,7.00%,4.00%
Return on Capital (ROIC),-13.40%,-12.10%,1.90%,10.20%,7.40%,9.90%,6.20%
Earnings Yield,-21.27%,-18.94%,2.10%,11.54%,6.95%,8.84%,4.22%
FCF Yield,-13.92%,-11.02%,7.09%,14.43%,6.41%,5.52%,4.51%
Buyback Yield / Dilution,1.12%,1.49%,1.30%,1.45%,0.54%,-0.20%,2.99%
Total Shareholder Return,1.12%,1.49%,1.30%,1.45%,0.54%,-0.20%,2.99%
