Year,Current,2022
Market Capitalization,70,153
Enterprise Value,70,152
PE Ratio,96.91,184.80
PB Ratio,-36.67,-41.95
P/FCF Ratio,-299.72,-380.71
P/OCF Ratio,-299.72,-380.71
EV/EBITDA Ratio,46.36,184.20
EV/EBIT Ratio,46.36,184.20
EV/FCF Ratio,-299.95,-379.49
Debt / Equity Ratio,-0.08,-
Debt / EBITDA Ratio,0.22,-
Debt / FCF Ratio,-0.63,-
Current Ratio,0.48,4.69
Return on Equity (ROE),-41.10%,-24.10%
Return on Assets (ROA),1.60%,0.70%
Return on Capital (ROIC),1.60%,0.70%
Earnings Yield,2.16%,0.54%
FCF Yield,-0.75%,-0.26%
