Year,Current,2022,2021,2020,2019
Market Capitalization,119,176,181,-,-
Market Cap Growth,-,-2.57%,-,-,-
Enterprise Value,150,214,57,-16,19
PE Ratio,37.56,41.51,47.77,-,-
PS Ratio,4.67,7.01,7.61,-,-
PB Ratio,0.69,0.92,0.83,-,-
P/FCF Ratio,19.07,43.70,69.84,-,-
P/OCF Ratio,26.28,36.19,-697.03,-,-
EV/Sales Ratio,5.82,8.55,2.40,-0.97,1.25
EV/EBITDA Ratio,30.13,35.71,9.55,-8.94,3.49
EV/EBIT Ratio,40.44,44.63,12.06,-16.78,3.98
EV/FCF Ratio,23.79,53.27,22.05,9.53,7.64
Debt / Equity Ratio,0.29,0.39,0.22,0.72,0.70
Debt / EBITDA Ratio,10.09,12.54,7.88,39.34,9.81
Debt / FCF Ratio,7.97,18.71,18.20,-41.93,21.46
Asset Turnover,0.03,0.03,0.03,0.03,-
Return on Equity (ROE),1.80%,2.10%,2.40%,1.50%,-
Return on Assets (ROA),0.40%,0.50%,0.50%,0.20%,-
Return on Capital (ROIC),0.40%,0.60%,0.70%,0.20%,-
Earnings Yield,2.78%,2.41%,2.09%,-,-
FCF Yield,5.24%,2.29%,1.43%,-,-
Dividend Yield,1.30%,3.08%,-,-,-
Payout Ratio,36.00%,120.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,7.55%,0.90%,-,-,-
Total Shareholder Return,8.83%,3.98%,-,-,-
