Year,Current,2022,2021,2020,2019,2018
Market Capitalization,"15,680","13,795","27,776","40,126",-,-
Market Cap Growth,-,-50.34%,-30.78%,-,-,-
Enterprise Value,"25,119","21,711","44,826","60,026","13,748","6,477"
PE Ratio,-692.73,297.16,90.12,202.71,-,-
PS Ratio,4.15,2.36,2.15,2.56,-,-
PB Ratio,27.63,23.92,41.73,81.81,-,-
P/FCF Ratio,25.04,1.29,3.64,-22.50,-,-
P/OCF Ratio,21.93,1.27,3.59,-23.92,-,-
EV/Sales Ratio,6.55,3.72,3.47,3.84,2.71,1.54
EV/EBITDA Ratio,103.48,64.61,61.71,101.58,62.74,30.82
EV/EBIT Ratio,180.61,89.72,68.78,116.19,95.36,48.60
EV/FCF Ratio,39.54,2.02,5.88,-33.65,-1.96,4.74
Debt / Equity Ratio,17.66,15.10,28.94,44.76,4.33,2.73
Debt / EBITDA Ratio,41.89,25.91,26.52,37.15,69.39,36.06
Debt / FCF Ratio,16.01,0.81,2.53,-12.31,-2.16,5.54
Asset Turnover,0.17,0.25,0.37,0.50,0.32,-
Return on Equity (ROE),-4.60%,8.40%,48.30%,7.90%,0.00%,-
Return on Assets (ROA),-0.10%,0.20%,0.90%,0.60%,0.00%,-
Return on Capital (ROIC),0.40%,0.70%,1.20%,1.10%,0.60%,-
Earnings Yield,-0.16%,0.34%,1.11%,0.49%,-,-
FCF Yield,3.99%,77.79%,27.45%,-4.45%,-,-
Dividend Yield,14.44%,7.95%,-,-,-,
Payout Ratio,0.00%,259.00%,47.00%,0.00%,-,-
Buyback Yield / Dilution,0.04%,0.90%,-1611.51%,94.36%,-,-
Total Shareholder Return,0.04%,15.33%,-1603.56%,94.36%,-,-
