Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,177,183,575,535,643,-,-
Market Cap Growth,-,-68.18%,7.50%,-16.79%,-,-,-
Enterprise Value,"2,940","2,945","2,589","1,830","2,109","1,181",840
PE Ratio,-0.57,-2.35,12.12,-11.86,150.78,-,-
PS Ratio,0.39,0.28,1.08,1.60,1.44,-,-
PB Ratio,0.37,0.33,0.95,1.15,1.32,-,-
P/FCF Ratio,0.72,0.92,4.20,4.08,3.34,-,-
P/OCF Ratio,0.60,0.74,3.52,3.50,2.94,-,-
EV/Sales Ratio,6.68,4.60,4.88,5.46,4.72,2.58,3.71
EV/EBITDA Ratio,-12.92,-106.12,28.80,-48.31,51.19,15.72,66.35
EV/EBIT Ratio,-10.56,-39.12,41.24,-31.49,77.84,18.66,405.91
EV/FCF Ratio,12.45,14.80,18.90,13.96,10.98,9.81,6.61
Debt / Equity Ratio,6.51,5.42,3.66,3.14,3.28,3.78,4.31
Debt / EBITDA Ratio,-13.25,-106.87,24.55,-38.64,38.90,17.44,73.79
Debt / FCF Ratio,12.58,14.91,16.12,11.16,8.34,10.88,7.35
Asset Turnover,0.13,0.19,0.22,0.17,0.23,0.31,-
Return on Equity (ROE),-41.00%,-13.00%,9.20%,-9.70%,1.00%,5.90%,-
Return on Assets (ROA),-6.40%,-2.30%,2.00%,-2.20%,0.20%,1.10%,-
Return on Capital (ROIC),-4.60%,-1.30%,1.60%,-1.80%,0.80%,2.50%,-
Earnings Yield,-132.04%,-42.51%,8.25%,-8.43%,0.66%,-,-
FCF Yield,138.27%,108.80%,23.83%,24.52%,29.90%,-,-
Buyback Yield / Dilution,-1.97%,-8.25%,-10.94%,-153.98%,-189.68%,-53.53%,29.95%
Total Shareholder Return,-1.97%,-8.25%,-10.94%,-153.98%,-189.68%,-53.53%,29.95%
