Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014
Market Capitalization,"2,707",906,"1,827","2,457","3,103","2,098","2,993","2,785","2,287",-
Market Cap Growth,-,-50.43%,-25.66%,-20.80%,47.92%,-29.93%,7.50%,21.78%,-,-
Enterprise Value,"14,066","12,264","10,828","9,643","10,632","9,123","10,686","10,740","10,522","7,900"
PE Ratio,10.30,1.77,2.26,3.58,3.36,2.34,4.55,3.92,3.56,-
PS Ratio,0.96,0.32,0.56,0.75,0.58,0.41,0.64,0.59,0.57,-
PB Ratio,0.80,0.27,0.32,0.41,0.51,0.38,0.55,0.54,0.50,-
P/FCF Ratio,-7.53,-7.53,1.37,0.88,1.99,0.86,2.04,4.84,0.77,-
P/OCF Ratio,-19.77,-19.77,1.26,0.84,1.81,0.78,1.75,3.38,0.64,-
EV/Sales Ratio,4.98,4.35,3.35,2.96,1.98,1.77,2.29,2.29,2.60,1.70
EV/EBITDA Ratio,11.67,10.18,6.24,6.46,5.44,4.92,6.90,6.50,7.12,4.42
EV/EBIT Ratio,14.35,12.51,7.84,8.90,6.82,5.85,8.58,7.71,8.52,5.19
EV/FCF Ratio,-102.03,-102.03,8.15,3.45,6.83,3.76,7.27,18.67,3.54,3.48
Debt / Equity Ratio,4.38,4.38,3.18,2.84,2.76,2.88,2.78,2.96,3.33,2.64
Debt / EBITDA Ratio,12.34,12.34,10.37,11.47,8.54,8.51,9.81,9.28,10.31,8.48
Debt / FCF Ratio,-123.72,-123.72,13.54,6.13,10.73,6.49,10.33,26.64,5.13,6.68
Asset Turnover,0.04,0.04,0.04,0.04,0.07,0.07,0.06,0.06,0.07,0.07
Return on Equity (ROE),12.60%,12.60%,15.10%,11.60%,16.10%,17.10%,12.30%,14.20%,14.50%,15.20%
Return on Assets (ROA),0.70%,0.70%,1.00%,0.80%,1.10%,1.20%,0.90%,1.00%,1.00%,1.10%
Return on Capital (ROIC),1.30%,1.30%,1.60%,1.20%,1.80%,2.00%,1.50%,1.80%,1.90%,2.00%
Earnings Yield,18.91%,56.54%,44.35%,27.93%,29.78%,42.77%,21.98%,25.51%,28.11%,-
FCF Yield,-4.44%,-13.27%,72.77%,113.65%,50.14%,115.81%,49.11%,20.66%,129.90%,-
Dividend Yield,1.37%,252.17%,115.07%,90.70%,80.05%,114.58%,78.59%,96.73%,415.10%,-
Payout Ratio,72.10%,72.10%,40.40%,50.60%,42.10%,42.00%,56.50%,60.20%,73.80%,24.00%
Buyback Yield / Dilution,-0.67%,-0.12%,-0.09%,-0.38%,-0.09%,-0.95%,-0.42%,68.52%,-6.62%,-
Total Shareholder Return,0.69%,252.06%,114.98%,90.32%,79.96%,113.63%,78.17%,165.25%,408.48%,-
