Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"398,688","393,343","467,966","387,335","437,226","324,627","371,052","308,768","243,065","233,936","219,837",Upgrade
Market Cap Growth,-,-15.95%,20.82%,-11.41%,34.69%,-12.51%,20.17%,27.03%,3.90%,6.41%,31.53%,Upgrade
Enterprise Value,"430,648","368,614","276,071","401,828","689,688","579,461","434,546","414,487","360,556","286,674","398,909",Upgrade
PE Ratio,9.91,10.96,10.06,14.13,12.62,10.57,16.44,13.52,10.73,11.65,13.28,Upgrade
PS Ratio,2.88,3.06,3.85,3.23,3.78,2.98,3.69,3.20,2.60,2.46,2.26,Upgrade
PB Ratio,1.30,1.35,1.59,1.39,1.67,1.27,1.45,1.22,0.98,1.01,1.04,Upgrade
P/FCF Ratio,10.39,3.67,5.99,-4.85,106.85,20.79,-34.27,14.11,3.31,6.39,2.04,Upgrade
P/OCF Ratio,10.39,3.67,5.99,-4.85,106.85,20.79,-34.27,14.11,3.31,6.39,2.04,Upgrade
EV/Sales Ratio,3.16,2.86,2.27,3.35,5.96,5.33,4.32,4.29,3.85,3.01,4.10,Upgrade
EV/EBITDA Ratio,7.53,7.17,4.20,9.41,13.41,12.38,10.81,10.87,10.65,8.48,13.01,Upgrade
EV/EBIT Ratio,8.56,8.31,4.78,11.79,16.01,14.86,12.77,12.70,12.47,9.87,15.74,Upgrade
EV/FCF Ratio,11.39,3.44,3.54,-5.03,168.55,37.11,-40.14,18.94,4.91,7.83,3.70,Upgrade
Debt / Equity Ratio,1.93,1.86,1.87,1.94,1.97,2.08,1.94,1.95,1.93,2.44,2.53,Upgrade
Debt / EBITDA Ratio,10.22,10.55,8.36,12.69,10.03,11.40,12.31,13.00,14.12,16.72,17.45,Upgrade
Debt / FCF Ratio,15.46,5.06,7.03,-6.78,126.12,34.18,-45.70,22.64,6.51,15.44,4.95,Upgrade
Asset Turnover,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Upgrade
Return on Equity (ROE),13.80%,12.50%,16.20%,10.20%,13.20%,11.90%,8.80%,9.00%,9.30%,8.80%,7.90%,Upgrade
Return on Assets (ROA),1.10%,0.90%,1.30%,0.80%,1.30%,1.20%,0.90%,0.90%,0.90%,0.80%,0.70%,Upgrade
Return on Capital (ROIC),1.40%,1.20%,1.60%,1.00%,1.50%,1.40%,1.30%,1.30%,1.20%,1.10%,1.00%,Upgrade
Earnings Yield,10.25%,9.12%,9.94%,7.08%,7.92%,9.46%,6.08%,7.40%,9.32%,8.58%,7.53%,Upgrade
FCF Yield,9.63%,27.23%,16.69%,-20.63%,0.94%,4.81%,-2.92%,7.09%,30.22%,15.64%,49.11%,Upgrade
Dividend Yield,2.93%,3.02%,2.39%,2.87%,2.44%,2.61%,1.97%,2.20%,2.61%,2.53%,2.36%,Upgrade
Payout Ratio,29.50%,33.10%,24.00%,40.50%,30.70%,27.40%,32.10%,29.50%,27.80%,29.30%,31.10%,Upgrade
Buyback Yield / Dilution,0.28%,1.87%,1.97%,4.43%,5.38%,4.55%,3.07%,2.22%,0.63%,0.46%,0.19%,Upgrade
Total Shareholder Return,3.26%,4.89%,4.36%,7.30%,7.82%,7.16%,5.03%,4.41%,3.24%,2.99%,2.55%,Upgrade
