Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Market Capitalization,"44,601","63,700","84,748","63,131","69,945","53,945","68,653","56,901","48,399","48,006","41,281",Upgrade
Market Cap Growth,-,-24.84%,34.24%,-9.74%,29.66%,-21.42%,20.65%,17.57%,0.82%,16.29%,33.86%,Upgrade
Enterprise Value,"65,618","88,050","33,278","8,136","101,734","95,148","94,194","79,318","68,581","68,894","71,450",Upgrade
PE Ratio,7.64,11.11,15.59,8.67,13.64,10.66,13.53,15.43,12.47,12.16,10.45,Upgrade
PS Ratio,2.02,3.02,4.41,3.74,4.15,3.33,4.20,3.75,3.18,3.12,2.58,Upgrade
PB Ratio,0.91,1.39,1.52,1.17,1.42,1.13,1.45,1.25,1.08,1.08,0.98,Upgrade
P/FCF Ratio,3.73,7.01,11.75,13.55,9.50,6.88,12.31,16.26,8.76,8.60,7.43,Upgrade
P/OCF Ratio,3.73,7.01,11.75,13.55,9.50,6.88,12.31,16.26,8.76,8.60,7.43,Upgrade
EV/Sales Ratio,2.98,4.17,1.73,0.48,6.04,5.88,5.77,5.23,4.50,4.48,4.46,Upgrade
EV/EBITDA Ratio,8.15,10.94,3.82,0.86,13.41,12.93,14.37,12.46,10.46,10.47,10.47,Upgrade
EV/EBIT Ratio,8.50,11.90,4.80,1.02,16.23,15.28,17.32,15.34,12.54,12.32,12.59,Upgrade
EV/FCF Ratio,5.49,9.69,4.61,1.75,13.82,12.14,16.88,22.66,12.41,12.34,12.86,Upgrade
Debt / Equity Ratio,1.24,1.28,0.55,0.69,1.22,1.21,1.25,1.16,1.23,1.28,1.09,Upgrade
Debt / EBITDA Ratio,7.55,7.29,3.53,3.94,7.95,7.84,9.06,8.33,8.36,8.67,6.79,Upgrade
Debt / FCF Ratio,5.09,6.46,4.27,7.98,8.18,7.36,10.64,15.14,9.92,10.21,8.34,Upgrade
Asset Turnover,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,Upgrade
Return on Equity (ROE),12.60%,12.10%,9.90%,13.90%,10.40%,10.70%,10.90%,8.10%,8.70%,8.90%,9.70%,Upgrade
Return on Assets (ROA),1.10%,1.00%,1.00%,1.60%,1.30%,1.30%,1.40%,1.00%,1.10%,1.20%,1.30%,Upgrade
Return on Capital (ROIC),1.40%,1.40%,1.50%,1.80%,1.40%,1.50%,1.40%,1.40%,1.50%,1.60%,1.70%,Upgrade
Earnings Yield,13.41%,9.00%,6.41%,11.54%,7.33%,9.38%,7.39%,6.48%,8.02%,8.22%,9.57%,Upgrade
FCF Yield,26.79%,14.26%,8.51%,7.38%,10.53%,14.53%,8.13%,6.15%,11.42%,11.63%,13.46%,Upgrade
Dividend Yield,5.38%,3.72%,2.41%,3.11%,2.69%,2.96%,1.84%,1.86%,2.16%,2.10%,2.22%,Upgrade
Payout Ratio,41.00%,41.50%,37.80%,27.10%,36.70%,31.50%,24.80%,28.60%,26.70%,25.30%,23.10%,Upgrade
Buyback Yield / Dilution,4.29%,3.29%,0.23%,4.69%,4.68%,3.29%,2.80%,4.03%,2.98%,-0.94%,-0.57%,Upgrade
Total Shareholder Return,9.66%,7.01%,2.65%,7.80%,7.37%,6.25%,4.64%,5.89%,5.14%,1.16%,1.65%,Upgrade
