Year,Current,2022,2021,2020,2019,2018
Market Capitalization,313,190,628,-,-,-
Market Cap Growth,-,-69.80%,-,-,-,-
Enterprise Value,"1,505","1,520","6,365","3,263","1,821",598
PE Ratio,-0.86,-1.16,3.78,-,-,-
PS Ratio,-26.42,0.74,0.65,-,-,-
PB Ratio,0.66,0.31,0.81,-,-,-
P/FCF Ratio,0.16,0.05,-0.27,-,-,-
P/OCF Ratio,0.16,0.05,-0.27,-,-,-
EV/Sales Ratio,-144.32,5.94,6.62,2.37,9.12,3.64
EV/EBITDA Ratio,-3.77,-7.81,27.16,4.02,-55.54,-24.46
EV/EBIT Ratio,-3.66,-7.40,28.38,4.05,-47.05,-18.62
EV/FCF Ratio,0.79,0.42,-2.69,-2.42,-1.50,2.30
Debt / Equity Ratio,2.77,2.38,7.65,3.73,4.64,1.55
Debt / EBITDA Ratio,-3.37,-7.39,25.36,4.26,-58.04,-27.82
Debt / FCF Ratio,0.69,0.39,-2.51,-2.56,-1.57,2.62
Asset Turnover,0.00,0.07,0.12,0.27,0.09,-
Return on Equity (ROE),-50.50%,-23.70%,22.00%,90.70%,-6.90%,-
Return on Assets (ROA),-10.60%,-4.40%,2.00%,11.80%,-1.30%,-
Return on Capital (ROIC),-8.60%,-3.40%,1.60%,10.50%,-1.10%,-
Earnings Yield,-98.79%,-86.21%,26.48%,-,-,-
FCF Yield,606.93%,1927.12%,-376.90%,-,-,-
Dividend Yield,1.76%,5.84%,4.22%,-,-,-
Payout Ratio,-1.80%,-6.80%,16.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,0.63%,0.81%,-0.48%,-,-,-
Total Shareholder Return,2.39%,6.65%,3.74%,-,-,-
