Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Market Capitalization,"38,764","46,986","47,211","32,617","44,655","34,864","53,560","67,082","76,658","78,409","75,163",Upgrade
Market Cap Growth,-,-0.48%,44.74%,-26.96%,28.08%,-34.91%,-20.16%,-12.49%,-2.23%,4.32%,44.23%,Upgrade
Enterprise Value,"61,981","72,122","75,176","67,324","77,149","66,531","82,838","96,126","104,278","107,868","114,615",Upgrade
PE Ratio,6.68,4.59,5.04,-5.46,13.43,-5810.67,-8.80,-79.01,34.91,10.41,8.27,Upgrade
PS Ratio,0.73,0.83,0.91,0.75,0.90,0.74,1.08,1.28,1.31,1.22,1.09,Upgrade
PB Ratio,0.87,1.15,0.72,0.49,0.68,0.62,0.82,0.88,0.86,0.73,0.75,Upgrade
P/FCF Ratio,8.15,11.17,7.52,31.42,-24.71,-88.49,-6.85,19.16,26.65,15.66,12.82,Upgrade
P/OCF Ratio,8.15,11.17,7.52,31.42,-24.71,-88.49,-6.85,19.16,26.65,15.66,12.82,Upgrade
EV/Sales Ratio,1.20,1.28,1.44,1.54,1.55,1.40,1.67,1.84,1.79,1.67,1.66,Upgrade
EV/EBITDA Ratio,4.60,3.75,4.30,-36.85,7.05,9.76,12.78,20.51,11.38,6.49,7.03,Upgrade
EV/EBIT Ratio,6.97,5.01,5.84,-11.32,13.01,45.66,31.74,161.29,22.99,8.86,9.89,Upgrade
EV/FCF Ratio,13.34,17.14,11.97,64.86,-42.69,-168.86,-10.60,27.45,36.25,21.54,19.54,Upgrade
Debt / Equity Ratio,0.60,0.66,0.46,0.57,0.54,0.61,0.49,0.41,0.33,0.29,0.41,Upgrade
Debt / EBITDA Ratio,1.93,1.41,1.72,-20.54,3.23,5.07,4.88,6.60,3.19,1.88,2.56,Upgrade
Debt / FCF Ratio,5.60,6.46,4.80,36.16,-19.56,-87.66,-4.05,8.83,10.17,6.23,7.11,Upgrade
Asset Turnover,0.10,0.11,0.09,0.08,0.10,0.10,0.10,0.10,0.12,0.12,0.13,Upgrade
Return on Equity (ROE),14.30%,22.60%,14.40%,-9.40%,5.20%,0.00%,-8.50%,-1.00%,2.20%,7.00%,9.20%,Upgrade
Return on Assets (ROA),1.10%,1.90%,1.60%,-1.10%,0.60%,0.00%,-1.20%,-0.20%,0.40%,1.40%,1.70%,Upgrade
Return on Capital (ROIC),1.60%,2.50%,2.10%,-1.00%,1.10%,0.30%,0.50%,0.10%,0.80%,2.20%,2.00%,Upgrade
Earnings Yield,15.89%,21.81%,19.82%,-18.31%,7.45%,-0.02%,-11.36%,-1.27%,2.86%,9.60%,12.09%,Upgrade
FCF Yield,12.27%,8.95%,13.30%,3.18%,-4.05%,-1.13%,-14.60%,5.22%,3.75%,6.39%,7.80%,Upgrade
Dividend Yield,2.39%,2.15%,2.34%,3.41%,2.55%,3.34%,2.22%,2.08%,1.41%,0.92%,0.39%,Upgrade
Payout Ratio,16.20%,9.70%,11.70%,-18.60%,33.80%,-12800.00%,-19.60%,-164.10%,47.90%,9.50%,3.20%,Upgrade
Buyback Yield / Dilution,9.92%,8.90%,0.51%,2.27%,2.27%,2.19%,14.71%,18.24%,7.81%,2.27%,12.21%,Upgrade
Total Shareholder Return,12.36%,11.04%,2.85%,5.68%,4.82%,5.54%,16.94%,20.32%,9.22%,3.20%,12.60%,Upgrade
