Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2000
Market Capitalization,231,321,418,367,445,367,404,367,234,242,228,Upgrade
Market Cap Growth,-,-23.40%,13.89%,-17.50%,21.26%,-9.14%,10.23%,56.83%,-3.42%,5.99%,41.67%,Upgrade
Enterprise Value,544,656,352,513,446,400,399,354,303,254,187,Upgrade
PE Ratio,6.60,9.52,9.73,10.37,12.38,12.38,20.69,20.88,12.94,15.89,17.09,Upgrade
PS Ratio,1.73,2.47,2.97,3.00,3.76,3.35,4.10,4.34,3.00,3.57,3.73,Upgrade
PB Ratio,0.75,1.06,1.15,1.07,1.44,1.35,1.58,1.78,1.23,1.29,1.26,Upgrade
P/FCF Ratio,6.95,9.92,7.79,9.90,9.69,13.44,10.49,30.57,8.92,8.98,6.83,Upgrade
P/OCF Ratio,6.67,9.55,7.95,9.18,9.53,12.06,9.94,23.54,8.15,8.25,6.70,Upgrade
EV/Sales Ratio,4.06,5.06,2.50,4.19,3.77,3.65,4.04,4.19,3.89,3.75,3.06,Upgrade
EV/EBITDA Ratio,10.94,13.54,5.73,10.14,8.61,9.15,10.86,12.11,10.25,10.80,10.07,Upgrade
EV/EBIT Ratio,11.76,14.61,6.16,11.03,9.34,10.11,12.02,13.42,11.16,11.87,11.38,Upgrade
EV/FCF Ratio,16.32,20.32,6.56,13.83,9.70,14.65,10.35,29.49,11.55,9.44,5.60,Upgrade
Debt / Equity Ratio,1.29,1.36,0.53,0.63,0.26,0.39,0.25,0.52,0.62,0.33,0.20,Upgrade
Debt / EBITDA Ratio,7.96,8.52,3.11,4.29,1.56,2.45,1.76,3.68,3.98,2.65,1.98,Upgrade
Debt / FCF Ratio,11.88,12.78,3.56,5.85,1.75,3.92,1.68,8.96,4.49,2.31,1.10,Upgrade
Asset Turnover,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.05,0.05,0.04,Upgrade
Return on Equity (ROE),11.60%,11.00%,12.00%,10.70%,12.10%,11.30%,8.70%,8.70%,9.60%,8.20%,7.50%,Upgrade
Return on Assets (ROA),1.00%,1.00%,1.30%,1.20%,1.40%,1.20%,0.90%,0.90%,1.00%,1.00%,1.00%,Upgrade
Return on Capital (ROIC),1.20%,1.30%,1.80%,1.50%,1.90%,1.60%,1.60%,1.40%,1.50%,1.40%,1.20%,Upgrade
Earnings Yield,15.13%,10.50%,10.28%,9.65%,8.08%,8.08%,4.83%,4.79%,7.73%,6.29%,5.85%,Upgrade
FCF Yield,14.39%,10.08%,12.84%,10.10%,10.32%,7.44%,9.53%,3.27%,11.22%,11.14%,14.64%,Upgrade
Dividend Yield,5.88%,4.31%,3.16%,3.33%,2.57%,2.69%,1.99%,1.79%,2.44%,1.99%,1.63%,Upgrade
Payout Ratio,39.30%,40.90%,30.50%,34.30%,31.50%,33.00%,40.60%,36.90%,31.30%,31.20%,27.70%,Upgrade
Buyback Yield / Dilution,-1.18%,2.15%,-0.48%,1.02%,-0.03%,-7.48%,-5.17%,-0.49%,3.90%,1.08%,-1.20%,Upgrade
Total Shareholder Return,4.80%,6.47%,2.68%,4.34%,2.53%,-4.79%,-3.18%,1.30%,6.34%,3.06%,0.42%,Upgrade
