Year,Current,2022,2021,2020
Market Capitalization,921,-,-,-
Enterprise Value,945,4,21,15
PE Ratio,23.48,-,-,-
PS Ratio,1.36,-,-,-
PB Ratio,1.82,-,-,-
EV/Sales Ratio,1.39,0.01,0.04,0.03
EV/EBITDA Ratio,-,0.06,0.36,-0.18
EV/EBIT Ratio,-,0.06,0.40,-0.17
EV/FCF Ratio,-,0.02,0.12,0.35
Debt / Equity Ratio,0.25,0.31,0.30,0.42
Debt / EBITDA Ratio,-,2.13,2.20,-1.55
Debt / FCF Ratio,-,0.62,0.74,3.01
Asset Turnover,-,0.29,0.27,-
Return on Equity (ROE),-,4.80%,5.40%,-
Return on Assets (ROA),-,0.90%,1.00%,-
Return on Capital (ROIC),-,2.60%,2.70%,-
Earnings Yield,4.19%,-,-,-
Buyback Yield / Dilution,-101.42%,-0.57%,-100.25%,-
Total Shareholder Return,-101.42%,-0.57%,-100.25%,-
