Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1999
Market Capitalization,95,129,156,143,137,90,105,80,47,41,42,Upgrade
Market Cap Growth,-,-17.19%,8.62%,4.35%,52.01%,-13.72%,31.37%,70.83%,13.46%,-1.10%,7.24%,Upgrade
Enterprise Value,257,235,129,120,226,206,205,170,127,91,75,Upgrade
PE Ratio,7.79,12.05,10.80,6.76,12.64,18.14,25.53,15.54,18.09,19.49,21.08,Upgrade
PS Ratio,1.08,1.47,1.70,1.61,2.29,2.21,2.84,2.28,1.64,1.67,1.88,Upgrade
PB Ratio,0.59,0.81,0.99,0.94,1.13,0.95,1.25,1.34,0.84,0.80,0.85,Upgrade
P/FCF Ratio,5.07,4.96,3.41,-7.75,-18.25,13.87,6.34,7.49,8.20,5.65,-5.46,Upgrade
P/OCF Ratio,2.74,3.08,2.76,67.69,375.38,6.66,5.22,6.19,9.56,4.29,-6.05,Upgrade
EV/Sales Ratio,2.91,2.69,1.41,1.35,3.76,5.05,5.56,4.86,4.46,3.69,3.40,Upgrade
EV/EBITDA Ratio,11.13,10.92,4.76,3.39,12.64,24.61,24.75,18.38,26.59,25.71,25.10,Upgrade
EV/EBIT Ratio,16.91,17.00,6.70,4.23,16.16,34.99,32.92,24.50,46.27,51.64,57.03,Upgrade
EV/FCF Ratio,13.68,9.06,2.83,-6.51,-29.99,31.65,12.42,15.94,22.30,12.50,-9.90,Upgrade
Debt / Equity Ratio,1.11,0.81,0.22,0.31,0.93,1.34,1.29,1.64,1.58,1.09,0.81,Upgrade
Debt / EBITDA Ratio,7.85,5.95,1.29,1.32,6.34,15.17,13.01,10.54,18.37,16.00,13.31,Upgrade
Debt / FCF Ratio,9.64,4.93,0.76,-2.53,-15.05,19.50,6.52,9.14,15.40,7.78,-5.25,Upgrade
Asset Turnover,0.05,0.05,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.05,Upgrade
Return on Equity (ROE),7.40%,6.90%,9.30%,14.70%,9.30%,5.40%,6.10%,8.70%,4.70%,4.30%,3.80%,Upgrade
Return on Assets (ROA),0.60%,0.60%,1.00%,1.70%,1.10%,0.60%,0.60%,0.80%,0.40%,0.40%,0.40%,Upgrade
Return on Capital (ROIC),0.80%,0.80%,1.50%,2.30%,1.30%,0.60%,0.80%,0.90%,0.40%,0.30%,0.30%,Upgrade
Earnings Yield,12.29%,8.30%,9.26%,14.79%,7.91%,5.51%,3.92%,6.44%,5.53%,5.13%,4.74%,Upgrade
FCF Yield,19.71%,20.16%,29.29%,-12.91%,-5.48%,7.21%,15.77%,13.36%,12.19%,17.69%,-18.32%,Upgrade
Dividend Yield,4.61%,3.25%,1.94%,1.81%,1.75%,2.21%,1.62%,1.49%,2.47%,2.80%,2.68%,Upgrade
Payout Ratio,35.20%,36.20%,20.50%,12.30%,22.20%,39.70%,33.70%,23.20%,44.90%,53.70%,56.10%,Upgrade
Buyback Yield / Dilution,-19.59%,-17.76%,-0.30%,-5.19%,-17.26%,-9.54%,-32.31%,-0.07%,3.56%,-0.45%,-0.51%,Upgrade
Total Shareholder Return,-14.97%,-14.51%,1.63%,-3.37%,-15.51%,-7.33%,-30.68%,1.43%,6.03%,2.35%,2.17%,Upgrade
