Year,Current,2022,2021,2020,2019,2018,2017,2016,2015,2014
Market Capitalization,"1,209","1,249","1,328","1,100","1,330",957,"1,027",982,833,865
Market Cap Growth,-,-5.95%,20.70%,-17.27%,38.87%,-6.79%,4.64%,17.79%,-3.69%,-
Enterprise Value,"3,157","3,158","3,177","2,819","3,223","2,292","1,862","1,632","1,531","1,512"
PE Ratio,15.15,16.71,6.59,18.81,11.81,13.23,9.39,8.79,25.29,18.99
PS Ratio,3.81,4.24,4.90,4.02,4.81,4.14,5.19,5.84,5.42,6.38
PB Ratio,0.91,0.95,1.00,0.90,1.04,0.95,0.99,1.05,1.00,1.08
P/FCF Ratio,15.77,35.67,-60.19,3.65,-1.85,-2.43,-6.18,16.22,-13.16,-2.99
P/OCF Ratio,15.77,35.67,-60.19,3.65,-1.85,-2.43,-6.18,16.22,-13.16,-2.99
EV/Sales Ratio,9.94,10.72,11.72,10.30,11.66,9.90,9.41,9.71,9.95,11.15
EV/EBITDA Ratio,16.01,17.90,11.56,20.80,16.37,17.66,12.67,11.69,26.55,25.30
EV/EBIT Ratio,16.01,17.90,11.56,20.80,16.37,17.66,12.67,11.69,26.55,25.30
EV/FCF Ratio,41.17,90.21,-144.02,9.36,-4.49,-5.82,-11.19,26.98,-24.17,-5.22
Debt / Equity Ratio,1.50,1.51,1.44,1.47,1.51,1.38,0.84,0.74,0.87,0.84
Debt / EBITDA Ratio,10.12,11.22,6.94,13.26,9.87,10.66,5.92,4.99,12.62,11.22
Debt / FCF Ratio,26.01,56.58,-86.47,5.97,-2.70,-3.52,-5.23,11.51,-11.49,-2.32
Asset Turnover,0.09,0.09,0.09,0.09,0.09,0.10,0.10,0.11,0.10,0.13
Return on Equity (ROE),6.20%,5.60%,15.70%,5.10%,9.80%,7.00%,10.80%,12.90%,4.00%,6.30%
Return on Assets (ROA),2.50%,2.20%,6.30%,1.90%,3.80%,3.10%,5.70%,6.90%,2.20%,4.20%
Return on Capital (ROIC),3.70%,3.30%,5.50%,2.80%,4.30%,3.80%,5.40%,6.10%,2.70%,4.30%
Earnings Yield,6.87%,5.99%,15.17%,5.32%,8.47%,7.56%,10.65%,11.38%,3.95%,5.27%
FCF Yield,6.34%,2.80%,-1.66%,27.37%,-54.04%,-41.10%,-16.19%,6.16%,-7.60%,-33.46%
Dividend Yield,10.36%,11.28%,9.96%,12.41%,10.28%,12.59%,11.12%,10.10%,10.93%,9.61%
Payout Ratio,149.40%,162.70%,57.70%,206.70%,103.00%,143.20%,92.50%,79.10%,247.30%,168.20%
Buyback Yield / Dilution,-10.67%,-4.73%,-0.11%,-9.58%,-13.36%,-5.51%,-15.28%,-8.80%,-19.25%,-60.03%
Total Shareholder Return,-0.32%,6.55%,9.85%,2.83%,-3.08%,7.07%,-4.16%,1.29%,-8.32%,-50.42%
