Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,58,55,75,36,24,-,-
Market Cap Growth,-,-26.46%,107.02%,48.71%,-,-,-
Enterprise Value,40,38,59,26,15,-10,-10
PE Ratio,36.75,48.12,12.82,20.42,93.01,-,-
PS Ratio,1.61,1.46,1.88,1.35,0.90,-,-
PB Ratio,1.94,1.90,2.97,1.89,1.42,-,-
P/FCF Ratio,29.97,-93.02,10.50,32.86,29.50,-,-
P/OCF Ratio,28.76,-95.01,10.38,21.80,27.81,-,-
EV/Sales Ratio,1.13,1.01,1.48,0.98,0.55,-0.35,-0.30
EV/EBITDA Ratio,10.03,10.24,6.66,7.83,11.03,-3.13,-1.33
EV/EBIT Ratio,14.67,15.92,7.71,11.07,23.17,-3.82,-1.42
EV/FCF Ratio,20.93,-64.18,8.29,23.88,17.92,-3.70,-1.96
Debt / Equity Ratio,0.05,0.07,0.08,0.09,0.04,0.05,0.05
Debt / EBITDA Ratio,0.38,0.51,0.24,0.52,0.52,0.25,0.10
Debt / FCF Ratio,0.79,-3.20,0.30,1.58,0.84,0.30,0.14
Current Ratio,7.09,5.25,4.76,4.88,4.82,3.23,4.35
Asset Turnover,1.02,1.14,1.34,1.19,1.14,1.35,-
Return on Equity (ROE),6.70%,4.40%,24.80%,10.00%,1.50%,11.50%,-
Return on Assets (ROA),5.60%,3.50%,19.70%,7.90%,1.10%,8.10%,-
Return on Capital (ROIC),19.40%,21.30%,77.60%,22.50%,7.10%,32.60%,-
Earnings Yield,3.40%,2.08%,7.80%,4.90%,1.08%,-,-
FCF Yield,3.34%,-1.08%,9.53%,3.04%,3.39%,-,-
Buyback Yield / Dilution,-4.14%,-1.46%,-0.06%,-0.40%,-10.25%,-,-
Total Shareholder Return,-4.14%,-1.46%,-0.06%,-0.40%,-10.25%,-,-
