Year,Current,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011 - 1995
Market Capitalization,16,27,28,7,14,10,14,19,17,47,17,Upgrade
Market Cap Growth,-,-4.24%,297.75%,-49.32%,32.37%,-22.95%,-29.89%,12.50%,-63.52%,176.56%,-38.70%,Upgrade
Enterprise Value,17,-4,5,-9,4,-86,4,24,43,-11,-22,Upgrade
PE Ratio,-6.27,-31.44,-7.14,-1.29,-2.32,1.95,-4.74,-10.92,-63.05,-56.23,25.68,Upgrade
PS Ratio,0.62,0.98,1.25,0.36,0.63,0.31,0.52,0.73,0.64,1.77,0.58,Upgrade
PB Ratio,0.36,0.48,0.53,0.14,0.29,0.20,0.28,0.37,0.32,0.91,0.30,Upgrade
P/FCF Ratio,6.28,3.83,14.22,-5.31,-1.18,0.90,23.94,9.85,5.15,3.08,0.84,Upgrade
P/OCF Ratio,5.87,3.72,12.57,-225.55,-1.57,-2.09,16.36,45.94,4.74,3.02,0.84,Upgrade
EV/Sales Ratio,0.65,-0.15,0.25,-0.45,0.18,-2.57,0.15,0.92,1.61,-0.43,-0.75,Upgrade
EV/EBITDA Ratio,-10.54,-22.22,-1.89,1.98,-0.77,-13.79,-2.12,-108.41,45.67,-33.31,-10.33,Upgrade
EV/EBIT Ratio,-6.58,4.77,-1.40,1.63,-0.67,-16.11,-1.45,-14.82,-407.61,15.66,-22.13,Upgrade
EV/FCF Ratio,6.61,-0.58,2.78,6.70,-0.34,-7.43,7.01,12.40,12.98,-0.75,-1.09,Upgrade
Debt / Equity Ratio,0.99,0.55,1.02,0.65,0.45,0.74,1.04,1.32,1.55,1.37,1.35,Upgrade
Debt / EBITDA Ratio,-25.88,166.71,-18.49,-7.12,-4.16,6.18,-26.46,-305.37,88.16,204.07,36.01,Upgrade
Debt / FCF Ratio,17.45,4.36,27.21,-24.09,-1.84,3.33,87.44,34.92,25.05,4.62,3.80,Upgrade
Asset Turnover,0.04,0.04,0.03,0.03,0.04,0.05,0.04,0.04,0.04,0.04,0.05,Upgrade
Return on Equity (ROE),-5.60%,-1.50%,-8.10%,-10.70%,-12.20%,11.20%,-5.50%,-3.30%,-0.50%,-1.60%,1.20%,Upgrade
Return on Assets (ROA),-0.40%,-0.10%,-0.60%,-0.90%,-1.00%,0.80%,-0.40%,-0.20%,0.00%,-0.10%,0.10%,Upgrade
Return on Capital (ROIC),-0.40%,-0.10%,-0.60%,-0.90%,-1.10%,0.80%,-0.40%,-0.20%,0.00%,-0.10%,0.20%,Upgrade
Earnings Yield,-17.21%,-3.18%,-14.01%,-77.56%,-43.02%,51.37%,-21.09%,-9.16%,-1.59%,-1.78%,3.89%,Upgrade
FCF Yield,15.93%,26.13%,7.03%,-18.84%,-84.40%,110.77%,4.18%,10.15%,19.41%,32.42%,118.38%,Upgrade
Buyback Yield / Dilution,-20.75%,-24.22%,17.21%,-0.02%,-0.08%,-,-,-,-0.01%,-0.02%,0.05%,Upgrade
Total Shareholder Return,-20.75%,-24.22%,17.21%,-0.02%,-0.08%,-,-,-,-0.01%,-0.02%,0.05%,Upgrade
