Year,Current,2022,2021,2020,2019,2018,2017
Market Capitalization,225,331,363,191,206,155,-
Market Cap Growth,-,-8.93%,90.66%,-7.32%,33.07%,-,-
Enterprise Value,129,370,214,80,138,143,-22
PE Ratio,5.57,7.92,9.09,7.38,12.17,12.10,-
PS Ratio,1.39,2.03,2.22,1.55,2.30,2.15,-
PB Ratio,0.96,1.48,1.84,1.20,1.54,1.35,-
P/FCF Ratio,4.62,6.64,2.75,36.72,-7.47,5.82,-
P/OCF Ratio,4.28,6.44,2.75,34.92,-7.56,5.46,-
EV/Sales Ratio,0.80,2.26,1.31,0.65,1.55,1.98,-0.35
EV/EBITDA Ratio,2.36,6.64,3.89,2.15,5.52,7.57,-1.44
EV/EBIT Ratio,2.42,6.81,3.97,2.27,6.10,8.03,-1.54
EV/FCF Ratio,2.64,7.42,1.62,15.35,-5.03,5.36,-0.65
Debt / Equity Ratio,0.19,0.53,0.17,0.23,0.36,0.20,0.38
Debt / EBITDA Ratio,0.81,2.14,0.62,0.97,1.90,1.21,2.03
Debt / FCF Ratio,0.90,2.39,0.26,6.94,-1.73,0.86,0.92
Asset Turnover,0.08,0.08,0.08,0.07,0.07,0.07,-
Return on Equity (ROE),18.80%,19.70%,21.90%,17.60%,13.40%,13.10%,-
Return on Assets (ROA),1.90%,2.00%,1.90%,1.50%,1.30%,1.20%,-
Return on Capital (ROIC),2.60%,2.70%,2.90%,2.20%,1.80%,1.70%,-
Earnings Yield,18.35%,12.63%,11.00%,13.55%,8.22%,8.26%,-
FCF Yield,21.66%,15.06%,36.34%,2.72%,-13.38%,17.19%,-
Dividend Yield,1.50%,0.95%,0.39%,-,-,-,-
Payout Ratio,7.80%,7.40%,3.40%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,0.46%,-1.99%,-2.04%,1.21%,-12.09%,-9.05%,-
Total Shareholder Return,1.96%,-1.04%,-1.65%,1.21%,-12.09%,-9.05%,-
